N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C
5;-1;2.236235238344544;2.4926728059491254;5.749599285495469e-10;7.8900727090909095;1.44539631977898;10.540594577789307;0.19809222221374512;35
6;-1;2.2375642810042464;2.4939363588593504;0.08318377713618533;7.8900727090909095;1.444589091021402;11.355794429779053;0.24151921272277832;35
7;-1;2.262008353135633;2.5003066445521003;0.08318377713618533;7.8900727090909095;1.4328462841124645;12.351477146148682;0.2701733112335205;35
8;-1;2.24847965676802;2.493990951288727;0.08318377713618533;7.8900727090909095;1.4345470054285432;13.046557664871216;0.30317258834838867;35
5;-2;2.236235238423843;2.4918034804666362;0.08318377713618533;7.8900727090909095;1.4344548125179986;10.319132566452026;0.19632959365844727;35
6;-2;2.2388933231242927;2.4993569314495074;0.08318377713618533;7.8900727090909095;1.4315871876790562;11.000846147537231;0.23582696914672852;35
7;-2;2.276001710731455;2.510615319719137;0.08318377713618533;7.8900727090909095;1.4196826234705144;12.16858696937561;0.2665688991546631;35
8;-2;2.2660209601016237;2.503225966226303;0.08318377713618533;7.8900727090909095;1.4248869715273507;12.872182369232178;0.30291152000427246;35
5;-3;2.2804038490154968;2.4942093602946818;0.17827714676853557;7.799163618181819;1.4222994620006997;10.068010568618774;0.19222688674926758;35
6;-3;2.287934937934721;2.5012630683624906;0.18181818181818257;7.799163618181819;1.4142382101032858;10.85657024383545;0.23128056526184082;35
7;-3;2.3044674785726134;2.5059126836867525;0.17176713358816975;7.799163618181819;1.4063957573972283;12.011511087417603;0.2634243965148926;35
8;-3;2.283196075635697;2.5000055094044473;0.17176713358816975;7.799163618181819;1.412086602757377;12.753899097442627;0.29743027687072754;35
5;-4;2.264230971986567;2.4962630459799127;0.17827714676853557;8.597261798181819;1.4157847766734373;9.86394715309143;0.18961858749389648;35
6;-4;2.280379029830544;2.5047813960982546;0.2058671972215075;8.597261798181819;1.4110769386712094;10.681593656539917;0.23010468482971191;35
7;-4;2.3014757115038194;2.507771646740556;0.0354127254545471;8.597261798181819;1.4037491155163697;11.840970993041992;0.260526180267334;35
8;-4;2.2653917469881932;2.4996308652359724;0.17176713358816975;8.597261798181819;1.4107541393379335;12.573317050933838;0.29775547981262207;35
5;-5;2.259226765562083;2.502974368126635;0.17827714676853557;8.597261798181819;1.4165863537295662;9.61731481552124;0.18539118766784668;35
6;-5;2.272093351071626;2.5073951129803116;0.16636755356619826;8.597261798181819;1.4045012564324484;10.432711601257324;0.21966171264648438;35
7;-5;2.272093351071626;2.507066238069359;0.17176713358816975;8.597261798181819;1.3988257812574039;11.536816835403442;0.25558042526245117;35
8;-5;2.2591256282767134;2.499602734559259;0.17176713358816975;8.597261798181819;1.4087834935251042;12.373603582382202;0.2867295742034912;35
