N;P;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C
-1;0;7.824131197775261;10.318923728657817;0.2711623130156497;65.46249278976474;9.67875198325895;5.054724454879761;0.2644808292388916;152
-2;0;6.260473544389425;7.396577900943735;0.1732887763243784;61.04377527643585;6.070007459777898;2.905961751937866;0.335158109664917;79
-2;1;8.48203984899859;10.425170041848059;0.17716909687889246;41.11140996122609;7.7711725840224535;0.6644699573516846;0.3794560432434082;230
-3;0;6.330284353802755;7.324933538663432;0.1732887763243784;44.23461923722753;5.0235095922055475;1.3285489082336426;0.4376227855682373;50
-3;1;6.470123646422837;7.602975065040777;0.17716909687889246;44.23461923722753;5.372125052150688;0.698838472366333;0.44739246368408203;74
-3;2;8.807407620860968;10.525132328063632;0.17716909687889246;51.48116188471274;7.730257688710797;0.4456198215484619;0.5199313163757324;213
-4;0;6.108112561380988;6.932429523841176;0.1732887763243784;35.20602262397728;4.479439671291665;4.206831216812134;0.5782256126403809;45
-4;1;6.4866808924133;7.602232161509795;0.1732887763243784;44.23461923722753;5.243528950081988;0.7158517837524414;0.5717496871948242;57
-4;2;6.614834011522879;7.667803987893523;0.1732887763243784;44.23461923722753;5.357977713390562;0.671001672744751;0.5875504016876221;81
-4;3;7.051950084905596;8.336364818564965;0.18027756377319157;51.29365486100596;6.573582221448306;0.6205654144287109;0.6143326759338379;126
-5;0;6.012071190529941;6.835959300868088;0.1732887763243784;33.88244383157744;4.627711635454468;1.46933913230896;0.611652135848999;34
-5;1;6.499423051317708;7.508200039797564;0.1732887763243784;44.23461923722753;5.051085322332289;0.7351853847503662;0.6236827373504639;51
-5;2;6.499423051317708;7.639214392399631;0.1732887763243784;44.23461923722753;5.316752248910224;0.6382253170013428;0.6316401958465576;62
-5;3;6.61589215450191;7.813864790935651;0.1732887763243784;48.80160887716715;5.677417407501813;0.6058053970336914;0.6505188941955566;85
