N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C
1;-1;2.218491604671961;3.7864226424500926;0.0379999999999967;92.73662482261257;4.9148614860042095;21.3213894367218;1.8339459896087646;279
1;-2;2.19920462895111;3.8154745150237828;0.0379999999999967;92.73662482261257;5.051884255029685;20.227712154388428;1.8217346668243408;279
1;-3;2.189248272809644;3.82491376687704;0.0379999999999967;92.73662482261257;5.125300974950572;19.211446046829224;1.7836434841156006;279
1;-4;2.1505929414931226;3.793979412302857;0.0379999999999967;92.73662482261257;5.1518239227920555;18.3291015625;1.761962890625;279
1;-5;2.1326793007857563;3.823387295486527;0.07399999999999807;92.73662482261257;5.238750016668591;17.721508979797363;1.7348365783691406;279
1;-7;2.1505929414931226;3.8652086860118158;0.07399999999999807;92.73662482261257;5.237588974425157;17.464104652404785;1.9607110023498535;279
1;-8;2.1626964650639318;3.90588465063864;0.07399999999999807;92.73662482261257;5.28132069945144;20.48024010658264;2.590704917907715;279
1;-9;2.182580124531502;3.9271373978982647;0.07399999999999807;92.73662482261257;5.296319411346549;15.419529676437378;1.705108404159546;279
1;-10;2.185040045399627;3.945619922982919;0.07399999999999807;124.59829148106326;5.411708116412835;15.080229043960571;1.6816701889038086;279
