N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C
N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C
N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C
1;-1;2.4551871619084213;4.022574961589578;0.07399999999999807;75.80300525045163;4.967253942104072;38.23956513404846;4.843498229980469;280
2;-1;1.872273484296565;3.269578154128754;0.07399999999999807;52.50000391247604;4.330328052202441;21.068320751190186;3.975538492202759;280
1;-2;1.8405586108570438;3.264517250654612;0.07399999999999807;45.081205174662315;4.239515594269029;32.75797152519226;3.3232178688049316;280
2;-2;1.4153547258549677;2.7473024905904007;0.06999999999999318;52.50000391247604;3.8595311057061013;25.185705184936523;3.3193166255950928;280
1;-3;1.5108226236060909;2.864550686585377;0.07399999999999807;65.61715107317598;4.0155545779415185;38.82701921463013;3.6081395149230957;280
2;-3;1.1768602295939803;2.4801351343263;0.06999999999999318;44.807015276628285;3.53004323518566;31.52053141593933;3.267754554748535;280
1;-4;1.144510375662885;2.4974559503962968;0.0379999999999967;67.2756587800521;3.7264184206665045;45.606765270233154;3.8108952045440674;280
2;-4;1.030871961011646;2.269644668915724;0.0379999999999967;44.807015276628285;3.4155101972348367;49.69753170013428;4.900479078292847;280
1;-5;1.0689246933250292;2.355924874942749;0.0379999999999967;67.2756587800521;3.6213584848664513;52.31026530265808;4.069315433502197;280
2;-5;0.9865596788841551;2.167722128616649;0.0379999999999967;44.807015276628285;3.245093526032932;54.489161014556885;4.146479368209839;280
3;-1;1.5700665590986915;2.9357110980893575;0.06999999999999318;103.63533420624455;4.329451586312605;29.546640157699585;4.355391502380371;280
4;-1;1.3912311094854195;2.774494461645749;0.06999999999999318;103.63533420624455;4.329101425172419;35.44986534118652;4.879088640213013;280
5;-1;1.2505678710090071;2.6044039275408934;0.06999999999999318;103.63533420624455;4.111987196200766;41.55966663360596;5.062630653381348;280
6;-1;1.1417950779364976;2.4632790653008643;0.06999999999999318;103.63533420624455;3.936560703211373;48.706707239151;5.354938268661499;280
3;-2;1.2003953515404961;2.536220863946051;0.06999999999999318;103.63533420624455;3.956325775527543;41.18944025039673;5.173459529876709;280
4;-2;1.1246795099049494;2.4417513364470977;0.06999999999999318;103.63533420624455;3.911059243792885;48.889413595199585;5.1615989208221436;280
5;-2;1.0648009203602358;2.3252331531523027;0.0379999999999967;103.63533420624455;3.757371836971841;52.89697027206421;4.84328293800354;280
6;-2;1.0058081327967037;2.2343688826599912;0.0379999999999967;103.63533420624455;3.689577155239502;58.821940898895264;4.689790487289429;280
3;-3;1.071675790526228;2.307656187941063;0.06999999999999318;103.63533420624455;3.663314547224497;44.47913193702698;4.575594902038574;280
4;-3;1.035022705064966;2.263805340583915;0.06999999999999318;103.63533420624455;3.6940843494339375;52.11328983306885;4.642534255981445;280
5;-3;0.9966528984556257;2.1947141306298654;0.0379999999999967;103.63533420624455;3.6402788714096257;61.377957344055176;4.736731767654419;280
6;-3;0.9682571972363516;2.124550041328769;0.0379999999999967;103.63533420624455;3.5089267553176002;70.97782945632935;4.992242336273193;280
3;-4;0.9817148262097246;2.1798030645377318;0.0379999999999967;78.76902795033085;3.536209662896;56.24540305137634;4.590784311294556;280
4;-4;0.9700046391641618;2.1452540315805226;0.0379999999999967;78.76902795033085;3.586868445364644;66.65406322479248;4.965266466140747;280
5;-4;0.948894620071177;2.1165794458648057;0.0379999999999967;78.76902795033085;3.5880599937050253;86.98273158073425;4.913416624069214;280
6;-4;0.9244944564463454;2.0722853705765436;0.0379999999999967;78.76902795033085;3.4854993350363404;106.11281609535217;5.26391339302063;280
3;-5;0.9616319462247578;2.1262699232863587;0.0379999999999967;78.76902795033085;3.4734105435562626;64.89663600921631;4.772135972976685;280
4;-5;0.9518534551074546;2.1034835644202703;0.0379999999999967;78.76902795033085;3.5295330378827416;98.61109185218811;6.450738906860352;280
5;-5;0.9395122191861058;2.099462713484807;0.0379999999999967;78.76902795033085;3.5541960524037206;100.20418071746826;5.106863021850586;280
6;-5;0.9170736066423498;2.0686688722932116;0.0379999999999967;78.76902795033085;3.470917339668108;111.44379258155823;4.518242835998535;280
