N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C
N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C
N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C
N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C
N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C
N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C
N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C
N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C
N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C
N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C
1;-1;1.8458342287431992;3.344515532000905;0.0379999999999967;92.73662482261257;4.69797508873889;49.6227662563324;3.7206976413726807;279
1;-2;1.80603792872686;3.3453851106610704;0.0379999999999967;92.73662482261257;4.765932662368636;46.78713798522949;3.7643022537231445;279
1;-3;1.7959181495825496;3.3565098193542386;0.0379999999999967;92.73662482261257;4.794758594061823;44.57586646080017;3.7207963466644287;279
1;-4;1.7397494072423185;3.330315662284324;0.0379999999999967;92.73662482261257;4.831274923939763;39.94507193565369;3.366767644882202;279
1;-5;1.7392759987994928;3.3485633433663184;0.0379999999999967;92.73662482261257;4.874390314329352;40.11984395980835;3.6992740631103516;279
1;-7;1.7392587501576686;3.354399170964942;0.0379999999999967;92.73662482261257;4.864104865427903;32.063753604888916;3.0906319618225098;279
1;-8;1.7513657527769566;3.3668820492813087;0.0379999999999967;92.73662482261257;4.8199577667428315;33.348654985427856;3.3934319019317627;279
1;-9;1.7531985055891497;3.3727901349862153;0.0379999999999967;92.73662482261257;4.834018853264724;34.39079689979553;3.7961552143096924;279
1;-10;1.757742017475834;3.3947693061185302;0.0379999999999967;124.59829148106326;4.9577064151432255;26.287206172943115;2.628321886062622;279
