N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C;CL Time
1;-1;7.955855865811378;9.514238356415495;0.3226660667392693;42.782891176790066;6.91812449176152;7.279607772827148;0.12425661087036133;328;228.13850450515747
1;-2;7.3553727535719755;8.971978404254033;0.17323795011806975;42.829492586541775;6.55960707537913;7.7041401863098145;0.1303260326385498;328;520.8695390224457
1;-3;6.835405086025508;8.573349502304248;0.13884255137913792;42.92833533382729;6.520984679669023;8.250020980834961;0.13058972358703613;328;933.635745048523
1;-4;6.957809313952044;8.586388903748274;0.13884255137913792;42.92833533382729;6.415779899407586;9.056411027908325;0.13893413543701172;328;1466.9682981967926
1;-5;7.113899910680914;8.24963078223609;0.13884255137913792;40.279645822079544;6.00573856850086;9.036934614181519;0.13211464881896973;328;2138.8703916072845
2;-1;7.772294006821849;8.9046968834671;0.17323795011806975;39.45885577064385;6.0509028085510534;4.1281678676605225;0.13283634185791016;328;229.92640018463135
3;-1;7.259237047146964;8.505502042685919;0.3519438462597938;41.23910754459246;5.914759224173059;3.1579220294952393;0.1398918628692627;328;229.2952344417572
2;-2;6.651826038893319;8.378157924076346;0.4978979139599683;39.584368614881804;5.899640770276143;4.897982358932495;0.13443899154663086;328;524.3484816551208
3;-2;6.584340270655808;8.08243465501242;0.3928608459765081;41.55935855465521;5.809971216520128;4.1578288078308105;0.13918828964233398;328;523.8215856552124
2;-3;7.008079075727009;8.350552333286004;0.2667384624227215;40.87102826910051;5.902018539041035;5.754812717437744;0.13587212562561035;328;932.8782908916473
3;-3;6.848109729154733;7.891360557828839;0.33412955022986096;41.89418858381516;5.6084506951325634;5.266924858093262;0.14627766609191895;328;932.867645740509
2;-4;6.803656748373397;8.028595621703353;0.2667384624227215;40.87102826910051;5.720586768017612;6.558166742324829;0.1399402618408203;328;1466.8551170825958
3;-4;6.61168818349603;7.676139388900553;0.3516786276029069;41.03753330426631;5.566789674130548;6.265920639038086;0.1518092155456543;328;1465.9984278678894
2;-5;6.733578038793001;7.74667141776332;0.24041358836851004;40.87102826910051;5.498930259534292;7.452103137969971;0.1472785472869873;328;2139.672955274582
3;-5;6.506611739981115;7.453446073784283;0.3516786276029069;42.17352251054667;5.4311302643806965;7.256675958633423;0.15685248374938965;328;2138.612182378769
4;-1;7.152910762197814;8.248610313603402;0.38601556183101227;39.81639617130617;5.745705808416781;3.0759549140930176;0.14173483848571777;328;228.77536010742188
4;-2;6.835656003232099;8.033582402184859;0.5581569126903542;31.60400686772527;5.667350003142249;4.593354940414429;0.15124154090881348;328;522.8192057609558
4;-3;6.629267651546792;7.721760903196854;0.49920308663046564;36.95109702669102;5.4842240982258215;5.9546098709106445;0.15574145317077637;328;929.5323894023895
4;-4;6.573131000584066;7.615777349190689;0.3516786276029069;36.95109702669102;5.270547003993065;7.326171875;0.15998268127441406;328;1463.1879012584686
4;-5;6.465253732348383;7.316748367243662;0.48343037506870523;35.79932132927441;5.037282136443449;8.56314492225647;0.1672513484954834;328;2133.8788945674896
5;-1;6.703917632708633;8.136364216824461;0.10470952488045736;39.68943965436721;5.777413384194793;4.0241310596466064;0.15152621269226074;328;228.96071314811707
6;-1;6.856427881426132;7.9427586268410595;0.06892079302943022;39.38341743721202;5.5660000170224535;4.946293354034424;0.15731215476989746;328;228.60207676887512
5;-2;6.651286621947978;7.809481229486176;0.36338604496267285;31.60400686772527;5.449057394984106;5.822498559951782;0.1566922664642334;328;522.8168866634369
6;-2;6.541686705027994;7.607040647168174;0.13329689189508265;33.783839068565676;5.320497290824933;7.251072406768799;0.16469621658325195;328;521.7152945995331
5;-3;6.372365001855684;7.607257237678395;0.212983817281069;36.95109702669102;5.3720801760714965;7.563189268112183;0.1647329330444336;328;936.5998432636261
6;-3;6.642515202572482;7.540456423442892;0.36338604496267285;35.79932132927441;5.111689871728254;9.294418811798096;0.17639660835266113;328;929.0435013771057
5;-4;6.465253732348383;7.5564033342744645;0.48343037506870523;36.95109702669102;5.48859964386331;9.229049682617188;0.17663121223449707;328;1461.7975535392761
6;-4;6.6708031987314005;7.5725168944330905;0.4314352200158498;35.959260743258945;5.2979277838527405;11.18510389328003;0.18725061416625977;328;1463.2077646255493
5;-5;6.563421129625109;7.438507357935237;0.48343037506870523;35.959260743258945;5.301779197118211;10.664498329162598;0.18728256225585938;328;2131.730035305023
6;-5;6.681619570404999;7.455298425849565;0.4314352200158498;35.959260743258945;5.146622574747653;12.755255937576294;0.19958114624023438;328;2135.1604175567627
7;-1;6.829270471241036;7.849986047112976;0.06892079302943022;39.38341743721202;5.377544291075623;5.6777448654174805;0.16313648223876953;328;230.00238275527954
7;-2;6.805901231688143;7.517967434179384;0.19665541744840231;33.783839068565676;5.119793745809017;8.615684986114502;0.17739462852478027;328;524.8902425765991
7;-3;6.678037305850612;7.43374918811243;0.36338604496267285;35.79932132927441;5.005008907900635;10.752094984054565;0.18627691268920898;328;934.5628573894501
7;-4;6.795342067727946;7.551948752282868;0.4314352200158498;35.959260743258945;5.242165281051975;12.931869745254517;0.19751453399658203;328;1468.1072418689728
7;-5;6.795342067727946;7.407444832338265;0.4314352200158498;35.959260743258945;5.042607178332731;14.885371446609497;0.21375513076782227;328;2140.5485208034515
