N;P;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C;Clustering Time
-10;4;7.086279112331665;9.167361179686017;0.09125621630272407;57.460024570196516;7.751735742867194;3.150630474090576;0.32514095306396484;165;4.314058542251587
-10;5;9.466814077981937;13.001066619020257;0.12274881880230672;75.20899978804275;11.968320073186316;1.9339890480041504;0.43104076385498047;300;6.328690052032471
-10;6;11.23600602284441;15.45389284166373;0.16612214482956733;66.88223553974463;13.699723249906759;1.176638126373291;0.6263151168823242;523;9.748293161392212
-10;7;13.393121261565152;18.05599186107817;0.10605271517061839;76.13163844481882;14.992519910518649;0.7092580795288086;0.8954689502716064;911;15.767497062683105
-10;8;17.346390651836952;21.4083747636462;0.3099644674136534;76.8535537696439;15.47456404443343;0.46651721000671387;1.2429227828979492;1362;21.996485233306885
-10;9;22.451977015857132;25.562429315701255;1.0441169215190784;76.40302188715053;16.11552898286151;0.32267117500305176;1.5217785835266113;1710;26.99262499809265
-11;0;6.266556844536616;7.200751313216454;0.20331901995600687;40.67531358526447;5.338447371995511;21.296064615249634;0.2370891571044922;31;2.3257229328155518
-11;1;6.5068838008209084;7.238776914641423;0.20331901995600687;32.091048080049696;5.055381635239753;14.741896152496338;0.23374581336975098;39;2.506251096725464
-11;2;6.576151073811244;7.280440610677436;0.20331901995600687;33.861215852882545;5.089536754594057;10.075830698013306;0.23818445205688477;55;2.720432996749878
-11;3;7.026961531381689;7.978051515218905;0.09125621630272407;39.35692252166206;5.49502098986144;6.390323162078857;0.2621269226074219;80;3.189469337463379
-11;4;7.8484105686694186;9.282811082145422;0.09125621630272407;49.51574106059578;7.372824745883772;4.1141345500946045;0.29369568824768066;123;3.9031338691711426
-11;5;8.069869846544087;10.907008953431905;0.4314352200158498;61.303615235620164;9.326292476764044;2.6446073055267334;0.402691125869751;227;5.883465528488159
-11;6;9.38867951567711;13.33778681429492;0.16612214482956733;74.09981750976675;11.728093026485768;1.6152374744415283;0.5049118995666504;355;7.940007925033569
-11;7;12.04123919350227;16.899251712135;0.25710524570612325;77.52678047847995;14.89983003796748;1.0910906791687012;0.7689692974090576;625;12.526542663574219
-11;8;13.919206049264513;19.90484895695061;0.3099644674136534;76.85950906697892;15.884685166491227;0.6028633117675781;1.0973031520843506;1001;18.839621543884277
-11;9;21.988714213634395;24.94448145840136;0.9247190908189308;76.40302188715053;16.27248968121201;0.3938901424407959;1.485400915145874;1437;25.986332416534424
-11;10;23.19919681113373;26.405840697855194;0.6586531632387812;78.06481652272106;16.244885103997966;0.33188652992248535;1.762235164642334;1724;30.68845820426941
