N;P;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI TIme;N#CL
-1;0;2.4110520075612976;2.6890994752419406;0.22930801126901315;8.445341603259225;1.4743209350302064;2.141162872314453;0.055614471435546875;34
-2;0;2.2386816949673944;2.5062203988799947;0.17827714676853557;7.800857468562827;1.4614543424427733;6.5388503074646;0.0786583423614502;17
-2;1;2.317665131601057;2.657911721688224;0.08318377953192523;7.333564381082931;1.4912524334361614;1.7155570983886719;0.07297801971435547;145
-3;0;2.1876735791200934;2.4803937009522126;0.17176713370148555;7.800857468562827;1.407231788493662;7.3410773277282715;0.0736386775970459;9
-3;1;2.286133484113822;2.549173186789444;3.7482883349438396e-10;7.927152293626768;1.5152979973204121;5.3778464794158936;0.0771937370300293;34
-3;2;2.4733324122752087;2.7720589771993303;0.0909090916363624;8.29549495835134;1.5148211144043777;1.181649923324585;0.11725616455078125;264
-4;0;2.2388933231242927;2.456531206679062;0.17176713355254078;7.800857468562827;1.378370767990677;9.887367486953735;0.08591938018798828;9
-4;1;2.2034761443720283;2.4673594287316516;0.1635164123046607;7.800857468562827;1.41404366966612;6.922184467315674;0.07596111297607422;13
-4;2;2.25126124424056;2.527750989345404;1.8181722797468329e-10;8.031213987572137;1.531549601146995;4.7138166427612305;0.09670233726501465;72
-4;3;2.2879349379798706;2.606807292687017;0.0;8.49287846378886;1.5476866577913622;2.366716146469116;0.20599126815795898;415
-5;0;2.185116994617034;2.443007525927717;0.17176713358816975;7.800857468562827;1.3893717368511316;12.902719259262085;0.0978095531463623;6
-5;1;2.185116994617034;2.44597353737461;0.17176713358816975;7.800857468562827;1.3971493744625572;9.491039037704468;0.08777046203613281;9
-5;2;2.238537166084029;2.5110447095530946;0.14640545545454842;7.800857468562827;1.4280814138452818;6.616800546646118;0.0901486873626709;26
-5;3;2.150989234058702;2.4830735573499325;0.1522152499916746;7.800857468562827;1.4727820851980664;3.8314266204833984;0.1138150691986084;108
-5;4;2.5565775890021185;2.7207940131775996;0.0;8.959328189291634;1.492606279042138;0.4918341636657715;0.31465864181518555;561
-6;0;2.19895325883876;2.445024695965731;0.17176713358816975;7.800857468562827;1.3850836753505358;14.932618618011475;0.10231423377990723;4
-6;1;2.2370409402819806;2.4891501134189844;0.17176713358816975;7.800857468562827;1.4207209501968254;11.613496541976929;0.09647345542907715;7
-6;2;2.19895325883876;2.4304217456114623;0.17176713370148555;7.800857468562827;1.394374065287036;8.525671243667603;0.09527802467346191;15
-6;3;2.4103527238979403;2.539582771307917;0.055496365454548176;7.008609967486431;1.3674865893442605;4.843592643737793;0.09598517417907715;45
-6;4;2.2847136877048415;2.5728943187188706;0.0;7.805936814354755;1.4974909710892;2.3019933700561523;0.16895556449890137;182
-6;5;2.348556360203745;2.6173969621955018;0.0;9.632242272771794;1.5836859484733348;0.5445573329925537;0.5479717254638672;829
-7;0;2.19125089546963;2.4413526993895016;0.17176713358816975;7.800857468562827;1.386522681075364;14.847481966018677;0.10184049606323242;4
-7;1;2.19125089546963;2.449056346617837;0.17176713358816975;7.800857468562827;1.3885007190068968;12.771860599517822;0.10182762145996094;6
-7;2;2.2109613738172182;2.46431103540255;0.1635164123046607;7.800857468562827;1.4000405813346406;10.12824535369873;0.0987401008605957;11
-7;3;2.1796837899243307;2.440353006721623;0.17176713358816975;7.799163618181819;1.3940794667377854;7.173648357391357;0.10409665107727051;29
-7;4;2.221596069732751;2.4855080924525703;0.17176713358816975;7.715107534166225;1.3912596391929974;4.261953830718994;0.1237478256225586;73
-7;5;2.3055370285283487;2.513205705769712;0.12632181709091128;7.336496080945255;1.4257196371481013;2.027583122253418;0.26766514778137207;279
-7;6;2.4935643507844576;2.714357219883125;0.0;10.412476670634522;1.6169764029034928;0.33089280128479004;0.8174982070922852;1061
-8;0;2.19125089546963;2.4365852021721337;0.17176713358816975;7.800857468562827;1.3900549219103278;16.040397882461548;0.10849523544311523;4
-8;1;2.204965279962853;2.4496981296672047;0.17176713358816975;7.800857468562827;1.3880548512517172;14.09502625465393;0.10182905197143555;4
-8;2;2.19125089546963;2.4395042759435412;0.17176713358816975;7.800857468562827;1.3837280947502404;11.736985206604004;0.10387492179870605;9
-8;3;2.186206677724237;2.446439002309717;0.10938310953306002;7.800857468560935;1.367821736070188;8.697343587875366;0.10449838638305664;17
-8;4;2.1830871526328437;2.403789011382765;0.08318377713618533;7.800857468562827;1.3726336274796311;5.7411768436431885;0.10163712501525879;29
-8;5;2.2708609931327204;2.4372603528189756;0.1663675535662017;7.799163618181819;1.4178086092409428;3.5466384887695312;0.1737973690032959;116
-8;6;2.309140163606016;2.5696618579822594;0.08127745909090581;7.799163618181819;1.5677746917878148;1.6115479469299316;0.40933871269226074;387
-8;7;2.453930970828247;2.7901409492850373;0.0;8.77907998;1.7149467185212235;0.6446547508239746;1.172938346862793;1323
-9;0;2.19125089546963;2.439413331270905;0.17176713358816975;7.800857468562827;1.387039831838801;18.315211296081543;0.11073946952819824;3
-9;1;2.204965279962853;2.4441453930106376;0.17176713358816975;7.800857468562827;1.389432176527171;15.47985315322876;0.10766434669494629;4
-9;2;2.2109613738172182;2.4522552331301526;0.17176713358816975;7.800857468562827;1.3743446147457745;13.407557249069214;0.10179734230041504;4
-9;3;2.2109613738172182;2.438942856347624;0.17176713358816975;7.800857468562827;1.3680081729014095;10.597044706344604;0.10269379615783691;10
-9;4;2.1622378683832366;2.40873804789861;0.16255492000000515;7.800857468562827;1.3616760931629266;7.740141868591309;0.10117554664611816;20
-9;5;2.2698135513728666;2.4740883980836474;0.17176713358816975;7.89676793132919;1.4256280597784117;4.570201873779297;0.1272571086883545;52
-9;6;2.4147048457373486;2.5707856469331714;0.17176712933690513;7.51913568416147;1.4880023526053168;2.880063533782959;0.23549842834472656;156
-9;7;2.381901508958646;2.5704923913120235;0.0;7.799163618181819;1.5246205713379157;1.272498607635498;0.641930103302002;531
-9;8;2.438580920112685;2.752691513719257;0.0;10.288250190803202;1.6771302996533528;0.18622493743896484;1.6098322868347168;1565
-10;0;2.19125089546963;2.439413331270905;0.17176713358816975;7.800857468562827;1.387039831838801;19.1894211769104;0.11853408813476562;3
-10;1;2.19125089546963;2.43677835517647;0.17176713358816975;7.800857468562827;1.3894283764783824;16.753178119659424;0.11336588859558105;4
-10;2;2.2109613738172182;2.440917445690628;0.17176713358816975;7.800857468562827;1.3888535695893622;14.611877918243408;0.10829973220825195;4
-10;3;2.19125089546963;2.4548137506321943;0.17176713358816975;7.800857468562827;1.3810322053425592;11.599786520004272;0.1075596809387207;8
-10;4;2.238893322874571;2.434521318200749;0.17176713358816975;7.89676793132919;1.3807971293371066;9.502837419509888;0.10680747032165527;14
-10;5;2.2700312204688395;2.4728893113354893;0.17176713358816975;7.800857468562827;1.373190536283683;6.632954120635986;0.12737131118774414;36
-10;6;2.2264742588288713;2.5024721081118906;0.17176713358816975;7.093837242489833;1.4295185139280975;4.138585805892944;0.17237496376037598;79
-10;7;2.4119432472137827;2.5413858065226886;0.16636755319504345;8.688170889090909;1.4523361990483525;2.170299530029297;0.3364119529724121;217
-10;8;2.53690274294639;2.661839371343235;0.0;8.959328187295831;1.4994238716964554;0.7133572101593018;0.8736793994903564;682
-10;9;2.5063785617084164;2.76089740424752;0.0;8.959328189291634;1.5955517507377874;0.21653509140014648;2.1897318363189697;1857
-11;0;2.19125089546963;2.438174119524422;0.17176713358816975;7.800857468562827;1.3877377902132872;20.28687882423401;0.12061166763305664;3
-11;1;2.19125089546963;2.439301477699055;0.17176713358816975;7.800857468562827;1.3861374992005757;18.038304090499878;0.11371326446533203;3
-11;2;2.19125089546963;2.4404627092935023;0.17176713358816975;7.800857468562827;1.3880559647497084;15.538548231124878;0.11003375053405762;4
-11;3;2.200442394971801;2.4504100127302797;0.17176713358816975;7.800857468562827;1.3954449165282388;12.734816551208496;0.11113214492797852;7
-11;4;2.2512612444902818;2.4519193357224958;0.17176713358816975;7.800857468562827;1.3831944462967485;10.714080810546875;0.10547924041748047;8
-11;5;2.182716247631044;2.4376229496976562;0.0831837750113593;7.800857468562827;1.4046414328967978;7.985908508300781;0.11156940460205078;17
-11;6;2.1851998430129687;2.445518507043593;3.6363800859470996e-10;7.093837242489832;1.3851932934621478;5.969419002532959;0.1462874412536621;45
-11;7;2.304467477722369;2.4926628741621624;7.329319823191548e-10;7.898682781305388;1.4462257004808519;3.170111656188965;0.22500085830688477;108
-11;8;2.3971125905686947;2.533087065144263;0.09090909145454518;7.1802041319590195;1.368364807930098;1.6219432353973389;0.4964580535888672;300
-11;9;2.596546391476073;2.667491964730689;0.0;9.190054724942117;1.4996319727259917;0.5890896320343018;1.238417387008667;872
-11;10;2.6821561549999977;2.8761920139088986;0.0;8.959328189291634;1.6415133133202955;0.1603069305419922;2.754610538482666;2059
-12;0;2.19125089546963;2.4384383048581113;0.17176713358816975;7.800857468562827;1.3875609124092463;21.32667350769043;0.12574052810668945;3
-12;1;2.19125089546963;2.4380884798883447;0.17176713358816975;7.800857468562827;1.38739635411713;19.032933712005615;0.11558103561401367;3
-12;2;2.19125089546963;2.439861658927956;0.17176713358816975;7.800857468562827;1.3879234055207081;16.322962999343872;0.11333608627319336;4
-12;3;2.204965279962853;2.44708824059625;0.17176713358816975;7.800857468562827;1.3872820127222645;13.96024489402771;0.11754679679870605;7
-12;4;2.238893322874571;2.442175202279456;0.0831837750113593;7.800857468562827;1.3812557715305414;11.538101196289062;0.10811328887939453;7
-12;5;2.228932273593901;2.4647132221408725;0.17176713358816975;7.800857468562827;1.4024869041162193;9.537003755569458;0.11839675903320312;14
-12;6;2.3467945102376087;2.474548557145908;0.17176713370148555;7.8967679313291885;1.3993413013395517;7.216137886047363;0.12951302528381348;26
-12;7;2.2240141643147258;2.4757670912032372;0.17176713358816975;7.800857468562827;1.4410202174753874;5.104854106903076;0.17486095428466797;59
-12;8;2.3031477350015828;2.508144675661524;0.05549636563636362;7.12081875767417;1.3883075559951146;2.764699935913086;0.30683326721191406;145
-12;9;2.4438355730858072;2.594893588438635;0.1464054554545431;7.8900727090909095;1.4303954379417285;1.4014039039611816;0.6983401775360107;393
-12;10;2.613037156779174;2.7734652765936567;0.0;7.891747047162796;1.6026866580779553;0.49320244789123535;1.6275558471679688;1035
-12;11;2.528665252883098;2.810954594506028;0.0;9.77907998;1.7317511748390393;0.18477582931518555;3.374530553817749;2251
-13;0;2.19125089546963;2.439044375907644;0.17176713358816975;7.800857468562827;1.3872643611508106;22.963109731674194;0.12405920028686523;3
-13;1;2.19125089546963;2.4376437938582027;0.17176713358816975;7.800857468562827;1.3885839911412567;21.05638313293457;0.12132930755615234;3
-13;2;2.19125089546963;2.4364023558940247;0.16173454418181876;7.800857468562827;1.3896453957884325;18.072177410125732;0.11522102355957031;3
-13;3;2.2109613738172182;2.4455671686697014;0.1464054554545431;7.800857468562827;1.3869401678347555;15.029277563095093;0.11692953109741211;5
-13;4;2.204965279962853;2.438189694598522;5.0242958677880805e-15;7.800857468562827;1.3851389361628281;12.874670505523682;0.11557197570800781;7
-13;5;2.2284229867656338;2.4405093412930303;0.05549636636363609;7.800857468562827;1.3864971815921971;10.253578424453735;0.11453914642333984;10
-13;6;2.2784017027758052;2.479075502490676;0.09090909090909349;7.800857468562827;1.3956164983937878;8.819900751113892;0.12552785873413086;16
-13;7;2.223491864540776;2.4587510999928894;0.09090909090909349;7.800857468562828;1.439776161112526;6.502556800842285;0.1427478790283203;31
