N;P;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI TIme;N#CL;Clustering Time
-3;0;2.2109613738172182;2.480909435694743;0.17176713370148614;7.800857468562827;1.3873841763900274;6.838465213775635;0.08881831169128418;9;0.1747426986694336
-3;1;2.3000352381495883;2.564936828394968;4.5454839893433516e-10;7.927152293626768;1.5423461148121347;5.099188327789307;0.0924220085144043;37;0.21848559379577637
-3;2;2.359024633797084;2.7357131261966936;0.0;8.484965590535394;1.601416819683025;0.9956674575805664;0.13373327255249023;272;0.5424606800079346
-4;0;2.224992556752509;2.46065773045168;0.1356589184469452;7.800857468562827;1.3729304153753668;9.381951808929443;0.101104736328125;9;0.17876219749450684
-4;1;2.193238754832627;2.4708967230065846;0.1635164123046607;7.800857468562827;1.4121156906521195;6.548968076705933;0.09062504768371582;14;0.1917107105255127
-4;2;2.2947530591333942;2.5452593562000434;0.17827714676853557;8.12195720590006;1.516485170311886;4.457743883132935;0.11327266693115234;76;0.2942981719970703
-4;3;2.2934577652624304;2.5793063361697555;0.0;8.492878464420485;1.534052698825381;2.3075902462005615;0.22736859321594238;432;0.9327406883239746
-5;0;2.2109613738172182;2.4671333832647644;0.17176713358816975;7.800857468562827;1.3823605762295026;12.293225765228271;0.11292481422424316;7;0.1816408634185791
-5;1;2.19895325883876;2.467648588187644;0.1356589184469452;7.800857468562827;1.407994957886661;8.569769144058228;0.09917140007019043;8;0.17563176155090332
-5;2;2.1769784825957643;2.485852009709491;5.0242958677880805e-15;7.800857468562827;1.4316882289829758;6.155287981033325;0.10255622863769531;28;0.22544097900390625
-5;3;2.1885917794519294;2.502661224758192;0.09090909145454695;9.959968311222974;1.475054396786935;3.672898769378662;0.13644170761108398;126;0.44687366485595703
-5;4;2.6155930588684466;2.791938954117804;0.0;8.492878464420485;1.4990311399484002;0.38638854026794434;0.35285401344299316;617;1.5296502113342285
-6;0;2.19895325883876;2.443289463467706;0.17176713358816975;7.800857468562827;1.3860258795446159;13.715973138809204;0.11655783653259277;5;0.17116975784301758
-6;1;2.1876735789512436;2.4500153686808623;0.17176713358816975;7.800857468562827;1.4081814385620541;10.80419111251831;0.10953068733215332;7;0.18023276329040527
-6;2;2.238893322874571;2.4591384657315216;0.17176713370148555;7.800857468562827;1.404562260412456;8.083375453948975;0.11017370223999023;18;0.22604012489318848
-6;3;2.2742675725100123;2.47395101393298;0.17176713358816975;7.093837242489832;1.3665866279736;4.893342018127441;0.11891412734985352;57;0.3118162155151367
-6;4;2.289400569974052;2.4918894197822117;0.09090909145454695;7.245677414499026;1.4710467420912108;2.0883114337921143;0.19122719764709473;200;0.698866605758667
-6;5;2.3593401406483805;2.6734910419541205;0.0;10.288250190542502;1.6407833214449243;0.5007965564727783;0.5841262340545654;867;2.4605345726013184
-7;0;2.19125089546963;2.4460460727702777;0.17176713358816975;7.800857468562827;1.3841004710441442;13.998774766921997;0.11457419395446777;4;0.17966175079345703
-7;1;2.185116994617034;2.43842799204669;0.17176713358816975;7.800857468562827;1.3876201581545191;11.874555349349976;0.11269593238830566;6;0.18595218658447266
-7;2;2.2109613738172182;2.4673562326670035;0.17176713358816975;7.800857468562827;1.4015041331731812;9.545543670654297;0.11213111877441406;13;0.20024561882019043
-7;3;2.171540038407527;2.383747561124256;0.17176713358816975;7.800857468560935;1.3580354076009027;6.403857946395874;0.11208271980285645;28;0.2538876533508301
-7;4;2.2847136877048415;2.495422914639359;0.17176713358816975;7.800857468562828;1.4229605994859444;3.9653992652893066;0.141310453414917;80;0.42160892486572266
-7;5;2.2783684152996204;2.4985777820663113;0.1263218167272715;6.6240948297836235;1.4147530527967065;1.9175395965576172;0.2897074222564697;295;1.113410234451294
-7;6;2.4309949791973944;2.714540437736855;0.0;9.77907998;1.7023636882746023;0.2944986820220947;0.848405122756958;1097;3.617856979370117
-8;0;2.19895325883876;2.439993306502798;0.17176713358816975;7.800857468562827;1.3874288688647254;15.111400127410889;0.1181032657623291;4;0.17757630348205566
-8;1;2.19895325883876;2.449816143212908;0.17176713358816975;7.800857468562827;1.383867207455849;13.173810005187988;0.1129159927368164;4;0.21735358238220215
-8;2;2.1876735789512436;2.452435332865757;0.16379088503770248;7.800857468562827;1.3866068618888512;11.082069635391235;0.11494016647338867;10;0.2126612663269043
-8;3;2.185116994617034;2.4381611724863728;0.10938310953306002;7.800857468562827;1.3901183445243122;8.259548425674438;0.11467123031616211;18;0.2357182502746582
-8;4;2.182716247631044;2.4132511779170005;5.45448131117811e-10;7.800857468562827;1.3657306403146598;5.1798415184021;0.1198720932006836;39;0.3059854507446289
-8;5;2.2655834900285674;2.4645890149189054;0.12632181654545604;7.805936814354755;1.4531576076144301;3.1360321044921875;0.17735528945922852;115;0.5941715240478516
-8;6;2.3885610677180074;2.5784938955168957;0.0;7.281054649413301;1.5756728499627426;1.5187861919403076;0.4427146911621094;413;1.6972925662994385
-8;7;2.390369858067652;2.691508249612246;0.0;10.412476673382157;1.7654400340865302;0.6154518127441406;1.2185099124908447;1361;5.168272972106934
-9;0;2.19125089546963;2.4380880773398506;0.17176713358816975;7.800857468562827;1.3878337984274007;17.1680748462677;0.11868643760681152;3;0.17031240463256836
-9;1;2.2109613738172182;2.445895502091636;0.17176713358816975;7.800857468562827;1.3880383243298513;14.2945396900177;0.11568284034729004;4;0.17381000518798828
-9;2;2.2109613738172182;2.450838898973552;0.17176713358816975;7.800857468562827;1.380902989563183;12.33099889755249;0.11169791221618652;5;0.1827106475830078
-9;3;2.184656999820417;2.4382019690347647;0.1464054554545431;7.800857468562827;1.3666769991514032;10.019899845123291;0.11262631416320801;11;0.2177872657775879
-9;4;2.188830543408972;2.440253155263676;0.17176713358816975;7.800857468562827;1.370819572416275;6.893400192260742;0.10976529121398926;21;0.25273919105529785
-9;5;2.20246507057475;2.422285099747901;0.09090909090909172;7.891747047162796;1.3836431245004819;4.2869040966033936;0.14214658737182617;59;0.4213390350341797
-9;6;2.322276816866345;2.536785275439448;0.09090909090909174;7.800857468562828;1.3894269665334629;2.6745550632476807;0.27228808403015137;182;0.9482090473175049
-9;7;2.3291187954805803;2.512998961897627;0.0;7.981942221834675;1.502538380395042;1.12115478515625;0.6778905391693115;579;2.694831371307373
