N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C
1;-1;4.761299572600622;5.6829478387514785;0.22932533891138315;24.117137849536988;3.6040265761955723;0.39145612716674805;0.032495975494384766;44
1;-2;4.6279754866227085;5.687840951494474;0.22932533891138315;24.117137849536988;3.7815523718535595;0.39003539085388184;0.031158447265625;44
1;-3;4.542238824246059;5.617709138529478;0.01151173589582936;24.117137849536988;3.8255200868736012;0.3946044445037842;0.029813289642333984;44
1;-4;4.578903900917355;5.634731333474701;0.22932533891138315;23.739729046383253;3.853490955904633;0.3995778560638428;0.029502153396606445;44
1;-5;4.592290374933132;5.603002267487417;0.22932533891138315;23.739729046383253;3.89923253797182;0.39484286308288574;0.026332378387451172;44
1;-6;4.635717010416438;5.652868668266116;0.07159919439214858;23.739729046383253;3.8865090900817703;0.4014434814453125;0.026616573333740234;44
1;-7;4.676651580835102;5.684927204517192;0.07159919439214858;22.688908839650907;3.847806703949897;0.407473087310791;0.025800228118896484;44
1;-8;4.699999733318199;5.723393596193837;0.07159919439214858;22.688908839650907;3.773518292782954;0.4103837013244629;0.02536916732788086;44
1;-9;4.768649182146448;5.722078980624506;0.07159919439214858;22.638864861095147;3.725513973183687;0.4193732738494873;0.026066064834594727;44
1;-10;4.776654849459492;5.837555039488023;0.22932533891138315;21.420448626547433;3.7200201136074575;0.41548967361450195;0.025809526443481445;44
