N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C
15;-1;1.0619227843868848;2.290892623402486;0.0379999999999967;45.34130241843523;3.5295043832439723;101.894287109375;5.485409736633301;279
16;-1;1.053890411760155;2.281677290412694;0.0379999999999967;45.34130241843523;3.524439487728058;108.47575759887695;5.914755344390869;279
17;-1;1.0504446677478985;2.2773137841049924;0.0379999999999967;45.34130241843523;3.5222557597072526;114.19675827026367;6.213016510009766;279
18;-1;1.0472482991153593;2.2755707039552635;0.0379999999999967;45.34130241843523;3.5229964363063035;120.79513430595398;6.652115106582642;279
19;-1;1.042047983540106;2.268329526405136;0.0379999999999967;45.34130241843523;3.521128485352382;125.91238808631897;6.969663381576538;279
15;-2;1.063702966057724;2.316807990460027;0.0379999999999967;65.66463087568528;3.6125194310312767;100.25099658966064;5.45152473449707;279
16;-2;1.0582197314357729;2.3060584057877023;0.0379999999999967;65.66463087568528;3.604493700687306;105.33696556091309;5.70658016204834;279
17;-2;1.0507692420317665;2.2976648363130447;0.0379999999999967;65.66463087568528;3.599192873644927;112.49263191223145;6.101943731307983;279
18;-2;1.0493374099878492;2.295811453283362;0.0379999999999967;65.66463087568528;3.598705673784745;118.56865429878235;6.402728080749512;279
19;-2;1.0438012262878473;2.2868284814030395;0.0379999999999967;65.66463087568528;3.5953305007065413;124.0292112827301;6.772781848907471;279
15;-3;1.0814162010992803;2.3414814263153643;0.0379999999999967;65.66463087568528;3.6148808166972066;96.94264245033264;5.232102632522583;279
16;-3;1.0736950218754;2.328552378196634;0.0379999999999967;65.66463087568528;3.605360097791147;103.13852310180664;5.567810773849487;279
17;-3;1.0668992454772865;2.31854943574943;0.0379999999999967;65.66463087568528;3.6004711671423073;108.50269150733948;5.821380376815796;279
18;-3;1.065777181215661;2.313252213070341;0.0379999999999967;65.66463087568528;3.597420964205491;115.55107545852661;6.187633752822876;279
19;-3;1.061719831217245;2.302417754717944;0.0379999999999967;65.66463087568528;3.5931801168281603;120.62679100036621;6.503076553344727;279
15;-4;1.0747562514356526;2.331356917108079;0.0379999999999967;65.66463087568528;3.5993422211601485;93.68533611297607;5.013727903366089;279
16;-4;1.068849849136915;2.321037959659901;0.0379999999999967;65.66463087568528;3.5918055452550472;99.43783950805664;5.295054912567139;279
17;-4;1.0657964158318345;2.314771188282594;0.0379999999999967;65.66463087568528;3.5872034368358325;106.15438508987427;5.668912410736084;279
18;-4;1.0642184926038452;2.3082401047663406;0.0379999999999967;65.66463087568528;3.5836474973510346;112.27379417419434;5.971824645996094;279
19;-4;1.0618493301782508;2.3002637406137887;0.0379999999999967;65.66463087568528;3.578793725381443;117.00984025001526;6.33118748664856;279
15;-5;1.1086590999942316;2.3720543799035685;0.0379999999999967;65.66463087568528;3.6333685113670784;90.64014840126038;4.8521997928619385;279
16;-5;1.1037558606865907;2.361939461760368;0.0379999999999967;65.66463087568528;3.6275104899884316;96.41297912597656;5.1860997676849365;279
17;-5;1.1017644938914997;2.3531607360525806;0.0379999999999967;65.66463087568528;3.6199968564998457;102.61465764045715;5.479151725769043;279
18;-5;1.0993220638193262;2.348856881034417;0.0379999999999967;65.66463087568528;3.6179818316288803;109.69820284843445;5.821730852127075;279
19;-5;1.0971709073795215;2.340182469053944;0.0379999999999967;65.66463087568528;3.615223443997318;112.53214502334595;6.035762310028076;279
