N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C
1;-1;2.218491604671961;3.7864226424500926;0.0379999999999967;92.73662482261257;4.9148614860042095;20.901790142059326;1.5861647129058838;279
2;-1;1.8493547523393143;3.350006187008205;0.0379999999999967;92.73662482261257;4.697197895000812;27.814473390579224;1.7994720935821533;279
3;-1;1.5878844416392555;3.0287299796104064;0.0379999999999967;92.73662482261257;4.45700616617924;33.184978008270264;2.024677276611328;279
4;-1;1.4186697994952973;2.850777374365382;0.0379999999999967;92.73662482261257;4.327933596168517;37.64400887489319;2.2947723865509033;279
5;-1;1.3188730037422114;2.732272005331606;0.0379999999999967;92.73662482261257;4.252872191258933;43.16264581680298;2.506291151046753;279
6;-1;1.2310146221714826;2.589024150691259;0.0379999999999967;92.73662482261257;4.092115290442087;52.47388577461243;2.8392333984375;279
7;-1;1.1815773355984809;2.5536150233887738;0.0379999999999967;92.73662482261257;4.165572881872307;60.85334920883179;3.0584845542907715;279
8;-1;1.1444653773705875;2.484419849895575;0.0379999999999967;92.73662482261257;4.008188286190997;66.44040775299072;3.404167413711548;279
9;-1;1.1190290434121903;2.4357830475496858;0.0379999999999967;92.73662482261257;3.8542065885395798;72.04100584983826;3.6355085372924805;279
1;-2;2.19920462895111;3.8154745150237828;0.0379999999999967;92.73662482261257;5.051884255029685;19.7863130569458;1.5940544605255127;279
2;-2;1.8054639292990662;3.349418131013878;0.0379999999999967;92.73662482261257;4.771949429638356;26.640878677368164;1.777897596359253;279
3;-2;1.554164727434;3.0195979920117;0.0379999999999967;92.73662482261257;4.501150848359771;32.15502738952637;2.026207208633423;279
4;-2;1.4075613663354123;2.857903060337546;0.0379999999999967;92.73662482261257;4.3631560672683;36.31910276412964;2.2237231731414795;279
5;-2;1.3067608809571876;2.735888977627779;0.0379999999999967;92.73662482261257;4.269132895855412;41.54553174972534;2.4736616611480713;279
6;-2;1.2264061317524464;2.6161064022674623;0.0379999999999967;92.73662482261257;4.146114135576903;50.23260545730591;2.6978137493133545;279
7;-2;1.1833515961031968;2.5712068218979622;0.0379999999999967;92.73662482261257;4.194415137798377;58.65234398841858;2.9765560626983643;279
8;-2;1.151363105193145;2.497701124923003;0.0379999999999967;92.73662482261257;4.00980423482506;63.812480449676514;3.205280065536499;279
9;-2;1.119430658861905;2.4610663586097896;0.0379999999999967;92.73662482261257;3.9354539386655505;69.73104453086853;3.5469820499420166;279
1;-3;2.189248272809644;3.82491376687704;0.0379999999999967;92.73662482261257;5.125300974950572;18.854613780975342;1.570232629776001;279
2;-3;1.7967849064370423;3.3638171516882185;0.0379999999999967;92.73662482261257;4.801886464460104;25.41907787322998;1.761714220046997;279
3;-3;1.5514473887309201;3.0339784031171115;0.0379999999999967;92.73662482261257;4.503771196632281;30.524293899536133;1.9591658115386963;279
4;-3;1.4040911651313812;2.8670833757399086;0.0379999999999967;92.73662482261257;4.356635247246671;34.76019740104675;2.189866065979004;279
5;-3;1.3188237183186995;2.7505344952714914;0.0379999999999967;92.73662482261257;4.281366414544422;40.1376428604126;2.3996922969818115;279
6;-3;1.2395600025815647;2.6428229996299817;0.0379999999999967;92.73662482261257;4.207336499010971;48.831220865249634;2.6738202571868896;279
7;-3;1.201147784412869;2.5934269159020578;0.0379999999999967;92.73662482261257;4.202935489307806;56.82356309890747;2.905324935913086;279
8;-3;1.1759251676871254;2.526536211130514;0.0379999999999967;92.73662482261257;4.020410331533185;62.380449295043945;3.2208826541900635;279
9;-3;1.1404810388603672;2.477194969220682;0.0379999999999967;92.73662482261257;3.910301949347065;67.58424854278564;3.426622152328491;279
1;-4;2.1505929414931226;3.793979412302857;0.0379999999999967;92.73662482261257;5.1518239227920555;18.103747367858887;1.5774695873260498;279
2;-4;1.7459831041565135;3.338528954438934;0.0379999999999967;92.73662482261257;4.838529384400214;24.446234941482544;1.7450544834136963;279
