N;P;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI TIme;N#CL;Clustering Time
-1;0;2.092328085751296;2.437140508204843;0.11450871101343908;11.444364088395437;1.6207465757856745;11.858557224273682;0.09279775619506836;17;0.32314419746398926
-2;0;1.9765522909170787;2.2514785810850055;0.024578072191550348;8.392136504016174;1.4825809985272536;28.880890130996704;0.17750930786132812;7;0.24582314491271973
-2;1;2.0385034713174757;2.410903762762251;0.08835226340609413;10.69548827252665;1.6398432829306617;5.76223611831665;0.06872940063476562;61;0.5163600444793701
-3;0;2.0092971197901184;2.264601858331348;0.024578072191550348;8.392136504016174;1.4737789719185121;31.426677942276;0.188645601272583;5;0.25061988830566406
-3;1;2.0306038738921757;2.2934760386101543;0.024578072191550348;10.33318904880615;1.53354250687487;23.241771697998047;0.19656085968017578;16;0.3343617916107178
-3;2;2.1544822604696847;2.482029156192249;0.024578072191550348;12.650976004939341;1.7036756485494025;3.488956928253174;0.08135461807250977;147;1.179596185684204
-4;0;1.9765522909170787;2.2408483803673853;0.024578072191550348;8.392136504016174;1.4617535427510486;35.23617482185364;0.20043349266052246;4;0.20833039283752441
-4;1;2.021302108713292;2.251444431028309;0.024578072191550348;8.392136504016174;1.4840825885013762;28.24886989593506;0.18627691268920898;8;0.3102431297302246
-4;2;2.005183588724433;2.2646314035194655;0.010101525445522699;9.289310430021494;1.5295925588608477;19.87004566192627;0.19899964332580566;38;0.5019550323486328
-4;3;2.4961375050735697;2.801254463331435;0.036421567954235096;12.655663409182885;1.9644716833469655;2.1303329467773438;0.130110502243042;296;2.6366593837738037
-5;0;2.0092971197901184;2.2532926575186982;0.024578072191550348;8.392136504016174;1.464229528589687;38.849716901779175;0.195756196975708;3;0.19786310195922852
-5;1;2.0092971197901184;2.254159270477928;0.024578072191550348;8.51175034158962;1.4679706343968584;34.055827140808105;0.2321310043334961;5;0.2748384475708008
-5;2;1.9765522909170787;2.242198130498751;0.024578072191550348;8.604946133427198;1.4720478575655207;26.561137437820435;0.21715688705444336;14;0.3793954849243164
-5;3;2.0139429096255963;2.2696966473707687;0.09147320339189768;8.208245978332783;1.4965861679079286;17.639949798583984;0.20179319381713867;68;0.9239339828491211
-5;4;2.5078583156962844;3.165256955708942;0.09171829096728243;23.58043680681085;2.7257930446882277;1.391430377960205;0.23646140098571777;515;5.354484796524048
-6;0;2.005183588724433;2.2510779127908536;0.024578072191550348;8.392136504016174;1.4663885218016777;42.26771926879883;0.21220827102661133;3;0.20747780799865723
