N;P;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI TIme;N#CL
-1;0;2.092112322258337;2.444971944718161;0.010101525445522699;11.358647699045006;1.6198479757704547;11.798620462417603;0.08780431747436523;17
-2;0;1.9932059102169282;2.26636872625597;0.024578072191550348;8.392136504016174;1.4775504709664422;27.181949853897095;0.17409992218017578;7
-2;1;2.0789817954494545;2.4242423856454574;0.010101525445522699;8.773408920233495;1.5929430972286003;5.630136966705322;0.06528878211975098;59
-3;0;1.983920797230261;2.266545164433669;0.024578072191550348;8.392136504016174;1.4742027542728617;28.417680740356445;0.17468714714050293;5
-3;1;2.0092971197901184;2.260456414635665;0.024578072191550348;8.392136504016174;1.4636041064920746;21.852078914642334;0.17443060874938965;16
-3;2;2.092614632196903;2.4645866062253825;0.024578072191550348;13.423859355639868;1.7378572678797908;3.576565980911255;0.07789492607116699;141
-4;0;2.0092971197901184;2.2595221955690246;0.024578072191550348;8.392136504016174;1.4849962125175453;32.62221693992615;0.1943976879119873;4
-4;1;2.0177287511441104;2.2599266795627955;0.024578072191550348;8.392136504016174;1.4749402661663726;27.75142741203308;0.1975255012512207;7
-4;2;1.9057061611274153;2.2532647950845743;0.024578072191550348;8.073068480687969;1.5274333315869353;18.522999048233032;0.19964194297790527;39
-4;3;2.5093493775426703;2.7781301637147173;0.036421567954235096;13.295484119022655;1.9602610006852683;2.032216787338257;0.1224370002746582;278
-5;0;2.0092971197901184;2.2567757800147428;0.024578072191550348;8.392136504016174;1.464502524015273;35.90238618850708;0.19016432762145996;3
-5;1;2.005183588724433;2.2502998803507515;0.024578072191550348;8.392136504016174;1.459612302194318;31.370299339294434;0.22890448570251465;5
-5;2;2.020613705944422;2.2529694457721137;0.024578072191550348;8.51175034158962;1.467451295187167;24.33014965057373;0.19599390029907227;11
-5;3;2.1103233969363924;2.3356777418104957;0.06275966467568225;8.392136504016174;1.541697838023661;15.627615928649902;0.19087982177734375;68
-5;4;2.6902741143984166;3.2384968020502014;0.010101525445522699;26.553013011709236;2.9068899785197204;1.3101251125335693;0.21982145309448242;482
-6;0;2.005183588724433;2.250980986301027;0.024578072191550348;8.392136504016174;1.466514161647322;39.298813819885254;0.20661306381225586;3
-6;1;2.005183588724433;2.2482523454350294;0.024578072191550348;8.392136504016174;1.4623630197521778;32.94764947891235;0.18144583702087402;3
-6;2;2.0092971197901184;2.243849533714593;0.024578072191550348;8.392136504016174;1.4519358332981147;32.157257080078125;0.23229455947875977;6
-6;3;2.0050265953221897;2.262030937338334;0.09147320339189768;8.392136504016174;1.473287284219478;22.69168782234192;0.2252974510192871;31
-6;4;1.9362018298781085;2.341715786564553;0.12289036095775138;16.854117842987396;1.7585602098560742;13.148950338363647;0.22220087051391602;135
-6;5;2.6800544890536546;3.2114137732669366;0.05890150893739516;21.161852470896772;2.742630410107441;1.3533966541290283;0.39822983741760254;757
-7;0;2.005183588724433;2.252140391836537;0.024578072191550348;8.392136504016174;1.4660800877938835;43.111069440841675;0.26731300354003906;3
-7;1;2.005183588724433;2.249946960175621;0.024578072191550348;8.392136504016174;1.4641025812003705;36.04651427268982;0.19795823097229004;3
-7;2;2.0092971197901184;2.2504279907464975;0.024578072191550348;8.392136504016174;1.4621698793922828;32.588388204574585;0.21101617813110352;6
-7;3;2.012753616150224;2.2525380710113256;0.024578072191550348;8.134284334386958;1.4397596241970405;27.9524884223938;0.23590087890625;21
-7;4;1.9792872113700688;2.2466612513408197;0.010101525445522699;8.060555001907469;1.4495129068601125;21.53517460823059;0.27469635009765625;69
-7;5;2.1576670622715954;2.548592362948421;0.04573660169594945;20.766350823642856;1.9523841302507943;12.883480787277222;0.2799539566040039;225
-7;6;2.5100887779318315;3.310096799607538;0.03857142857142826;21.77362852566273;2.7558060898085293;1.5978331565856934;0.6820895671844482;1118
-8;0;2.005183588724433;2.252140391836537;0.024578072191550348;8.392136504016174;1.4660800877938835;50.666210412979126;0.2982923984527588;3
-8;1;2.005183588724433;2.252140391836537;0.024578072191550348;8.392136504016174;1.4660800877938835;46.54978561401367;0.24791884422302246;3
-8;2;2.005183588724433;2.251569183521145;0.024578072191550348;8.392136504016174;1.4651538418755683;37.91683316230774;0.2051560878753662;5
-8;3;2.0177287511441104;2.263223706485344;0.024578072191550348;8.392136504016174;1.4706465345110264;31.815337419509888;0.19989991188049316;14
-8;4;2.0079745014718533;2.2706555436722136;0.024578072191550348;8.73178862851485;1.5014190009633632;28.09669303894043;0.2752823829650879;45
-8;5;2.005325048818175;2.337793044216424;0.07693092581620693;9.41943821714069;1.5331140477871965;19.148972749710083;0.3148796558380127;143
-8;6;2.141040601175018;2.537388299544684;0.03857142857142826;17.43620514905695;1.820055255807542;11.608940362930298;0.38932132720947266;345
-8;7;3.1144150955743486;3.9565950767921216;0.13131983079178783;19.137030203247317;3.1786554195183103;2.005021572113037;1.001401424407959;1437
-9;0;2.005183588724433;2.252140391836537;0.024578072191550348;8.392136504016174;1.4660800877938835;51.551313400268555;0.30712890625;3
-9;1;2.005183588724433;2.252140391836537;0.024578072191550348;8.392136504016174;1.4660800877938835;50.53410601615906;0.2929205894470215;3
-9;2;2.005183588724433;2.252140391836537;0.024578072191550348;8.392136504016174;1.4660800877938835;42.3491325378418;0.2587249279022217;5
-9;3;2.0177287511441104;2.254250013557745;0.024578072191550348;8.392136504016174;1.4695356782045117;35.69853711128235;0.2111504077911377;13
-9;4;2.0177287511441104;2.2655360849167683;0.024578072191550348;8.498532046110993;1.4572628406875037;30.140594005584717;0.26834797859191895;43
-9;5;1.9980226825012295;2.3005093366165177;0.0685714285714294;8.593207212914258;1.4835942470043808;23.84858012199402;0.3510932922363281;123
-9;6;2.0915883404512225;2.381246205187034;0.09147320339189768;11.343491346070104;1.5762215410124176;15.756141662597656;0.39521288871765137;239
-9;7;2.4402105429876984;2.8082106990966604;0.10025477748298685;12.920314964253393;1.972467818683767;8.283667802810669;0.520667552947998;472
-9;8;3.4122071715422946;4.5691963326630125;0.15730511103960898;21.7528044169022;3.9764983683320434;2.1225969791412354;1.3262109756469727;1658
-10;0;2.005183588724433;2.252140391836537;0.024578072191550348;8.392136504016174;1.4660800877938835;57.33864092826843;0.26585865020751953;2
-10;1;2.005183588724433;2.252140391836537;0.024578072191550348;8.392136504016174;1.4660800877938835;50.672367334365845;0.2655627727508545;3
-10;2;2.005183588724433;2.252140391836537;0.024578072191550348;8.392136504016174;1.4660800877938835;49.17960000038147;0.25940990447998047;4
-10;3;2.005183588724433;2.253894040905548;0.024578072191550348;8.392136504016174;1.4702904906379082;42.784754037857056;0.24254369735717773;12
-10;4;2.0092971197901184;2.251320870099061;0.024578072191550348;8.392136504016174;1.4621298846906745;35.42125201225281;0.26820945739746094;43
-10;5;1.9980226825012295;2.288411977450609;0.024578072191550348;8.392136504016174;1.4988628591613349;28.383294582366943;0.3846917152404785;122
-10;6;2.0171924276085624;2.3612807024188283;0.0667006715995929;13.240551502170618;1.6192356502413885;19.469948053359985;0.4638180732727051;228
-10;7;2.294609269163046;2.588350658571348;0.04573660169594945;11.225110789871874;1.7217759684112133;11.41487455368042;0.5257930755615234;366
-10;8;2.591874752097881;3.0211337532970357;0.08505700369488313;15.238668382194685;2.1898008469293475;6.881432294845581;0.6806163787841797;643
