N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C;CL Time
1;-1;2.0861216807878984;2.467086894226647;0.03857142857142826;11.4656563488622;1.6653789835142223;2.929461717605591;0.06397104263305664;16;5890.504957675934
2;-1;2.0360800245853268;2.3146333470207177;0.1197361043874299;9.41943821714069;1.4900324877221545;5.436953783035278;0.1000826358795166;16;5290.049372673035
3;-1;1.9768441469959293;2.3245499804514558;0.036421567954235096;8.556776166719972;1.4911203612182224;7.949971914291382;0.13480019569396973;16;5279.003281354904
4;-1;1.9912395344147256;2.2954463452668423;0.036421567954235096;8.556776166719972;1.4857626026553492;10.005227088928223;0.16922783851623535;16;5283.108491659164
