N;P;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C
-1;0;7.789293457876935;9.923208954063126;0.6308377683683833;28.946869970397927;7.417903321130399;2.4034454822540283;0.0847158432006836;388
-2;0;5.043863500163074;7.272213443823934;0.5182293797151956;34.275508334122485;6.683593325059365;6.9233078956604;0.09923148155212402;172
-2;1;6.943401527264174;10.532203868926985;0.27806231765560335;43.195933344449514;9.330718683162244;0.5134153366088867;0.14473271369934082;1132
-3;0;5.227289572375937;6.523939463119215;0.6244457262244623;27.10871896001589;4.719275086202971;2.568561315536499;0.11507534980773926;101
-3;1;5.371799160710379;6.993874190730878;0.621548974840281;29.848472784476346;5.766505558649593;1.275850772857666;0.13506746292114258;351
-3;2;8.241041134089134;10.380100038172904;0.4036712152234734;37.791992647996885;7.7144764606437555;0.42475414276123047;0.23029184341430664;1606
-4;0;5.227289572375937;6.394823451934987;0.6244457262244623;33.03878510845246;4.629287117229446;9.752448320388794;0.1465930938720703;85
-4;1;5.227289572375937;6.200658446587555;0.40496321206375957;24.941405754713387;4.484095804152458;2.1735270023345947;0.14677214622497559;154
-4;2;6.56700790143233;7.487480905962531;0.6244457262244623;24.64119416897495;5.768006078465582;1.0272796154022217;0.19327354431152344;552
-4;3;7.292571411028914;9.364822794475746;0.5950621238576697;42.09238659544769;7.3282859555149775;0.5049009323120117;0.30786681175231934;1806
-5;0;5.151359340642109;6.4937843617322315;0.6244457262244623;28.065310068180697;4.795234535676851;7.0868330001831055;0.17705821990966797;82
-5;1;5.350591411761904;6.7531316175780995;0.6244457262244623;28.065310068180697;5.163020573551741;6.5875091552734375;0.17092013359069824;95
-5;2;5.104835435398476;6.351340000186112;0.40496321206375957;24.941405754713387;4.832802443251057;1.551957607269287;0.18507719039916992;216
-5;3;7.266824994214751;7.754588832881463;0.3204155943848628;25.41370507826437;5.3850269638608745;1.136425256729126;0.24946928024291992;671
-5;4;8.897879440460347;13.182389982257256;0.6019381238964688;54.525190387012856;13.135419352941074;0.5289316177368164;0.3859248161315918;1802
-6;0;5.416221378588283;6.766886052183474;0.6050422635031542;41.251361888457716;4.697881916773158;3.799532175064087;0.20198345184326172;56
-6;1;5.306065876135837;6.520090326777309;0.6244457262244623;23.430993892918842;4.411519024597634;5.935100317001343;0.1989750862121582;87
-6;2;5.076744862313035;6.472270219932818;0.6244457262244623;24.16484120434584;4.627518183917426;5.8112733364105225;0.2044990062713623;124
