N;P;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C;Clustering Time
-1;0;8.664933405764497;10.965446038961812;0.5338933519439981;40.816247693358896;7.868173871790035;6.943047761917114;0.11619377136230469;400;3.3041152954101562
-2;0;5.227289572375937;7.450696371435286;0.41194791691425864;34.73682510971785;6.596571336204418;6.27519679069519;0.12594294548034668;181;2.8569836616516113
-2;1;6.815737143857387;9.660797502283563;0.5121583214690545;38.883265956465756;7.30821797692318;0.4960477352142334;0.18131589889526367;1174;6.118902683258057
-3;0;5.018524590524989;5.866169811694326;0.47694280579539583;23.430993892918842;3.917768529443516;2.9244742393493652;0.13327336311340332;108;2.773745059967041
-3;1;6.7188099808087625;8.270882280147406;0.5338933519439981;34.73682510971785;6.570129591877885;1.1527636051177979;0.1460869312286377;371;4.089940071105957
-3;2;8.82599616737387;10.553195770241398;0.28936084954601954;35.56106252259977;7.6819039889836205;0.41701531410217285;0.25414228439331055;1660;9.310292482376099
-4;0;5.448347497206736;6.521530320314049;0.6244457262244623;23.430993892918842;4.3871892359931755;8.77706503868103;0.1237645149230957;90;2.8038902282714844
-4;1;5.60625948288613;6.780887969645951;0.6244457262244623;27.256403430489964;4.656221306401202;1.990983486175537;0.12404656410217285;166;3.1979126930236816
-4;2;6.3698051922373;8.294083745756126;0.5338933519439981;44.33126016200362;7.432948282857861;1.176558494567871;0.17734813690185547;586;5.535515308380127
-4;3;7.093793366031726;9.364770374424715;0.49533155815069496;46.92687348234618;8.257024455703249;0.5717253684997559;0.31199193000793457;1836;12.040515661239624
-5;0;5.227289572375937;6.234995140312719;0.6244457262244623;23.430993892918842;4.247300506876505;8.924826383590698;0.12422037124633789;83;2.882634401321411
-5;1;5.350591411761904;6.397953546684617;0.6244457262244623;23.430993892918842;4.41117968052274;8.397362232208252;0.12079048156738281;102;2.9811296463012695
-5;2;6.031593046593313;7.74885381818792;0.6244457262244623;41.15025178112522;6.333468849963738;1.5938570499420166;0.13797378540039062;222;3.8585031032562256
-5;3;7.7580729039889516;9.093525523445338;0.6244457262244623;31.87759556393997;6.153424156833668;1.3183808326721191;0.2039778232574463;680;6.735547780990601
-5;4;7.340062208827157;10.24978756221978;0.6244457262244623;39.7867139018872;8.324340129813416;0.7167022228240967;0.35858583450317383;1822;14.11531114578247
-6;0;5.496007377951732;6.673846147862603;0.6050422635031542;41.251361888457716;4.717671520366648;4.024106740951538;0.12200736999511719;58;2.79866623878479
-6;1;5.448347497206736;6.373022824029549;0.47694280579539583;23.430993892918842;4.331408716309246;6.397817611694336;0.12176299095153809;88;3.0226197242736816
-6;2;5.259357719745767;6.176709428063798;0.6244457262244623;23.430993892918842;4.397665988473383;6.289828062057495;0.1267242431640625;125;3.323336124420166
-6;3;6.41553323788682;7.18868568954545;0.5338933519439981;27.85661769585685;5.0129939360963425;1.5367414951324463;0.15786194801330566;314;4.9251203536987305
-6;4;7.396854997759611;9.216410660533315;0.25764866097070893;44.37250328897392;7.872322824380591;1.32155179977417;0.23947429656982422;788;8.59048080444336
-6;5;9.833137466771875;11.23419514676257;0.5644855524182117;44.37250328897392;8.612043862648727;0.37862586975097656;0.4635598659515381;2453;21.688196659088135
-7;0;5.683779557075768;7.0271281076698555;0.6050422635031542;41.251361888457716;4.991612816807757;5.859883546829224;0.12733674049377441;53;2.870814085006714
-7;1;5.742354309662063;7.263472330466842;0.6050422635031542;41.251361888457716;5.259338035733194;3.856109380722046;0.11866259574890137;70;3.0844781398773193
-7;2;5.170949778439461;6.362866952866922;0.6244457262244623;23.430993892918842;4.461467492414488;2.813746929168701;0.1220088005065918;100;3.2775521278381348
-7;3;6.52281548985888;6.830107575611848;0.23536684664582816;23.430993892918842;4.435541999612814;1.7834346294403076;0.1334836483001709;171;3.975632429122925
-7;4;7.152769153200651;8.16066874372042;0.5338933519439981;39.7867139018872;6.551843670833687;1.441451072692871;0.1873795986175537;407;6.121513843536377
-7;5;9.079424428170949;10.185730224775373;0.6572856466179616;39.7867139018872;7.139196199000443;0.9412980079650879;0.31548357009887695;1091;12.540282726287842
-7;6;9.811847248562287;10.768196016253475;0.27977268116275966;31.86359656682095;6.742743841531753;0.37067437171936035;0.6972789764404297;3195;32.38507652282715
-8;0;5.4707911285740405;6.457019677066193;0.6050422635031542;41.251361888457716;4.648250650340776;12.487597703933716;0.12841367721557617;46;2.8650524616241455
-8;1;5.665975746839488;7.215966733399721;0.6050422635031542;41.251361888457716;5.328052128950947;4.633138179779053;0.11933159828186035;59;2.9778642654418945
-8;2;5.416221378588283;6.834464225911136;0.6050422635031542;23.430993892918842;4.340237421001569;3.861745595932007;0.12485694885253906;80;3.2222940921783447
-8;3;5.614421916626267;6.444074684473796;0.3628471251780653;23.430993892918842;4.153191861004422;2.2589404582977295;0.13085103034973145;130;3.8628599643707275
-8;4;7.289313674605959;7.868182470430343;0.3204155943848628;27.5226018846897;5.467234696038571;1.7844569683074951;0.1605522632598877;242;5.002633094787598
-8;5;8.124758973326125;8.741610282758106;0.6816212382988068;27.268990585484662;5.564784555139011;0.9681735038757324;0.2316722869873047;548;8.379997253417969
-8;6;8.600200147997882;9.075742659771139;0.31737529539174014;44.89676376015934;6.045329550079239;0.6072525978088379;0.3974118232727051;1354;17.199416399002075
-8;7;12.72218092412587;16.54956840912849;0.44197347346869553;118.41246582809599;18.02967049036375;0.35332608222961426;0.9005489349365234;3607;42.04402017593384
-9;0;5.589389365080816;6.705103752733916;0.6050422635031542;28.065310068180697;4.686220586932764;12.770153522491455;0.12688159942626953;41;2.9577159881591797
-9;1;5.571585554844535;6.424572339337386;0.6050422635031542;17.60081977891938;3.803925512769809;11.476447343826294;0.12806200981140137;51;3.085999011993408
-9;2;5.589389365080816;6.958695112693199;0.6050422635031542;21.821034627080586;4.39844194372299;3.1628482341766357;0.12942028045654297;66;3.170959711074829
-9;3;5.742354309662063;6.837284424785617;0.6050422635031542;39.22845939493418;4.700107200270982;3.166384696960449;0.13298535346984863;92;3.583004951477051
-9;4;7.544497068099689;8.551766190626552;0.3628471251780653;45.4715967997675;6.624037659262016;2.0191659927368164;0.1469590663909912;160;4.389577388763428
-9;5;8.53047175336517;9.295839721146425;0.34830249155726684;44.73931884127486;6.389038844484729;1.1050083637237549;0.18990635871887207;342;6.714296579360962
-9;6;8.842872970829621;8.933546220894877;0.34830249155726684;26.975653503309704;5.480579644921039;0.6559703350067139;0.26897406578063965;670;10.94296669960022
-9;7;11.968110401850534;14.336826850459511;0.6068383063057224;40.902384328331046;11.023671872515905;0.3898584842681885;0.4904665946960449;1567;22.25586247444153
-9;8;13.391241900121287;21.36679756211807;0.5644855524182117;122.72014196171101;24.18643263949624;0.22440886497497559;1.045635461807251;3646;48.71637940406799
-10;0;5.627403519958101;6.684383105978447;0.6050422635031542;23.383067433147538;4.465328055621987;13.182709455490112;0.13154959678649902;41;2.9437038898468018
-10;1;5.687758910875235;6.664537871901918;0.6244457262244623;23.383067433147538;4.5181541391921884;11.859632730484009;0.1255786418914795;46;2.988677978515625
-10;2;5.35070220859288;6.5559880571654245;0.6050422635031542;21.821034627080586;4.308040930209415;3.5879015922546387;0.12728500366210938;54;3.221858263015747
-10;3;5.886313416206149;6.92751259308272;0.6050422635031542;22.937932762634144;4.071179406021014;3.267010450363159;0.12883973121643066;71;3.370497703552246
-10;4;5.496007377951732;7.044202728476373;0.21502666404425436;25.063150873655626;4.901906579774114;2.606376886367798;0.14179158210754395;101;3.8048715591430664
-10;5;7.973340074371796;9.359886360517843;0.14662354219224188;44.847023455778256;7.042049300976443;1.0449156761169434;0.17311954498291016;253;6.109448194503784
-10;6;11.04650592333318;10.695191506777036;0.34830249155726684;25.124427602049476;6.191842976868901;1.0779941082000732;0.22305011749267578;396;8.188565492630005
-10;7;12.345276343785223;16.182518493590873;0.24310423947352913;47.76367798775682;12.309336236034303;0.4892303943634033;0.3202810287475586;770;13.813293933868408
-10;8;12.849144847885775;18.00294118109725;0.6068383063057224;45.06610206326092;14.45527490264769;0.3732731342315674;0.5800967216491699;1667;27.464349031448364
-10;9;13.497678794148488;20.61213531847585;0.11265593914658235;53.72384708548894;17.22637013354444;0.2346057891845703;1.0826408863067627;3329;51.06623077392578
-11;0;5.589389365080816;7.2808064921509;0.5950718654078608;39.20167807755492;6.15501373585281;15.877827167510986;0.1294267177581787;35;2.9129016399383545
-11;1;5.685229334216398;6.662922088280553;0.23705007909722353;23.383067433147538;4.3374542001011465;12.650901079177856;0.12690973281860352;43;2.9979302883148193
-11;2;5.043863500163074;6.432858145906764;0.6050422635031542;23.383067433147538;4.3097259377932335;11.391654253005981;0.12429690361022949;48;3.232522487640381
