N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C;Clustering Time
-1;-1;6.3525336071720915;7.993439575463356;0.47496259918545064;31.596572474894334;5.9411619375590154;6.3666441440582275;0.06430220603942871;411;189.4685924053192
-1;-2;6.116606607259479;7.479153083183912;0.23119193865702897;24.328270556712926;5.157594077000094;6.571259260177612;0.06754875183105469;411;424.7552044391632
-1;-3;5.992919916393301;7.288025918968204;0.6244457262244623;23.836177921203088;4.847478516183878;6.788893222808838;0.06866240501403809;411;747.3021693229675
-1;-4;5.840755476237445;7.288519892328568;0.6050422635031542;23.836177921203088;4.974943129570164;8.231964349746704;0.08929085731506348;411;1196.9684579372406
-1;-5;5.89982288861839;7.058250036257165;0.6050422635031542;25.149247516538644;4.539026057211346;7.178242921829224;0.07132244110107422;411;1833.6767497062683
-2;-1;7.244292316097296;7.874667144942101;0.27481904614673064;24.649989121295764;5.556239453160075;1.2287452220916748;0.07090997695922852;411;190.2136721611023
-2;-2;7.086573784811707;7.8548195605443745;0.6050422635031542;23.834889241731865;5.263313704139679;1.718827247619629;0.07524514198303223;411;428.22931146621704
-2;-3;6.661537676734882;7.669864478020037;0.6050422635031542;23.343021785134198;5.051209654529378;2.171400785446167;0.07710504531860352;411;746.8375763893127
-2;-4;6.36980896522636;7.32911039592302;0.6050422635031542;24.24367663046387;4.801307563499918;2.6345653533935547;0.0793297290802002;411;1153.599375963211
-2;-5;6.30746851762823;7.082456271727865;0.6050422635031542;25.773267053528542;4.457333946858628;3.1136491298675537;0.08045363426208496;411;1640.7253892421722
-3;-1;6.938421816093708;8.074843465278652;0.5029995831260587;31.7783005481138;5.911173947714352;1.067162275314331;0.06979250907897949;411;190.1094422340393
-3;-2;7.086573784811707;7.244068956294541;0.6050422635031542;23.834889241731865;4.5334652387277234;1.6698462963104248;0.07521653175354004;411;427.42003750801086
-3;-3;6.661537676734882;7.2706483191946;0.34224868516912416;23.383067433147538;4.574254527469843;2.217231512069702;0.07521629333496094;411;748.9451129436493
-3;-4;6.232685115766749;7.137807181254002;0.3021839588727338;23.383067433147538;4.7050776935057295;2.730400323867798;0.08303642272949219;411;1155.0062329769135
-3;-5;6.021346910758053;6.869437413516073;0.6050422635031542;23.383067433147538;4.334403548076127;3.2190332412719727;0.08160400390625;411;1642.3216264247894
-4;-1;6.631552980267666;7.6350374695356304;0.2612740000937729;24.649989121295764;5.143018830742729;1.2839500904083252;0.07134842872619629;411;191.36543822288513
-4;-2;6.661537676734882;7.153767212255216;0.6050422635031542;23.834889241731865;4.368751251653471;1.973686933517456;0.07708168029785156;411;426.5387432575226
-4;-3;6.661537676734882;7.174394546391463;0.6050422635031542;23.383067433147538;4.362172417943419;2.5417304039001465;0.07896041870117188;411;751.6250720024109
-4;-4;6.259873297924347;7.038876426671914;0.6050422635031542;23.383067433147538;4.473168994019935;3.0646555423736572;0.08205723762512207;411;1156.300861120224
-4;-5;6.295041897862731;7.018862089264378;0.6050422635031542;23.383067433147538;4.342896813559527;3.578023910522461;0.08522701263427734;411;1640.5575823783875
-1;-6;5.853260010951384;7.047537649916391;0.6050422635031542;23.71763305756129;4.45135799096142;7.327539682388306;0.07187414169311523;411;2250.075054883957
-2;-6;5.896542455776302;6.837218488276378;0.6050422635031542;23.490137993062646;4.109947620302795;3.5451512336730957;0.07952356338500977;411;2249.5668461322784
-3;-6;5.957829359401208;6.790296893522438;0.6050422635031542;23.383067433147538;4.176500267400061;3.6491055488586426;0.082061767578125;411;2250.2753567695618
-4;-6;5.896542455776302;6.858884549937201;0.6050422635031542;23.383067433147538;4.238196542966202;4.1357152462005615;0.08852052688598633;411;2253.133430957794
-1;-7;5.505182366426446;6.44379930650558;0.6050422635031542;23.71763305756129;3.963727040259227;7.566234827041626;0.07243895530700684;411;3030.4506816864014
-2;-7;5.913982963246578;6.597490975124747;0.6050422635031542;23.490137993062646;3.841302807975775;4.017467021942139;0.08117556571960449;411;3033.657375097275
-3;-7;5.913982963246578;6.7271969937400335;0.6050422635031542;23.383067433147538;4.157311665286459;4.161036729812622;0.08333635330200195;411;3025.6874170303345
-4;-7;5.886313416206149;6.726874341060477;0.6050422635031542;23.383067433147538;4.089861150751048;4.6324968338012695;0.0882411003112793;411;3032.5186314582825
-1;-8;5.625546212627945;6.806610804450629;0.6050422635031542;23.567089041977574;4.294423055979367;7.924337863922119;0.07062387466430664;411;3999.8218307495117
-2;-8;5.800791576861065;6.653825601259292;0.6050422635031542;23.058804136449158;3.9326090855702174;4.505854606628418;0.07991147041320801;411;4000.1000394821167
-3;-8;5.833067853663331;6.632450706363393;0.6050422635031542;23.383067433147538;4.079945334211683;5.686354160308838;0.11115789413452148;411;4232.91203212738
-4;-8;5.833067853663331;6.672794857897931;0.6050422635031542;23.91037189177795;4.049664507997126;5.168445587158203;0.0933072566986084;411;4262.28705906868
