N;P;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C;Clustering Time
-7;2;2.979345565724133;5.358545942077209;0.0379999999999967;132.6218201668187;10.092843345278707;44.832334995269775;3.526667833328247;88;0.8774478435516357
-7;3;6.629860104104773;14.932226904324219;0.08570880934885819;136.7056564863356;24.025280460940152;32.41568875312805;4.160797595977783;173;1.2142164707183838
-7;4;10.09806496315011;22.725872984343184;0.08075270893288837;158.2728774553619;30.730030461479984;22.34587049484253;5.927305459976196;362;1.672922134399414
-7;5;17.669183031481673;31.569940740301558;0.08570880934885819;141.18276824386183;33.00844396915826;12.658231019973755;10.297921657562256;853;3.1852591037750244
-7;6;31.881213292470548;41.42740884659352;0.08570880934885819;158.17149571588428;33.99542682078073;4.744125127792358;17.876826763153076;1837;6.122884750366211
-8;0;0.9325604538044703;2.0597290429512887;0.0379999999999967;78.76902795033085;3.2506674349743125;97.41874146461487;3.308668851852417;34;0.7216565608978271
-8;1;2.7557868204924905;5.0579543047629105;0.0379999999999967;141.779924498534;10.31890977009353;71.8815062046051;3.3636856079101562;45;0.7396461963653564
-8;2;2.8158132040318287;4.8584492806087916;0.0379999999999967;132.6218201668187;9.126216621427078;54.70952248573303;3.5023128986358643;66;0.8282217979431152
-8;3;6.175477390453309;12.925726483861823;0.08570880934885819;137.03434668874078;21.08693645369803;38.79595112800598;4.01349401473999;120;1.025930404663086
-8;4;8.759841379842447;19.310845988535743;0.07000000000000739;158.2728774553619;26.983183135632874;27.831743478775024;5.033317565917969;224;1.409167766571045
-8;5;11.631887937905868;25.638816396737166;0.08570880934885819;141.18276824386183;31.423997403512747;17.507736206054688;7.909297227859497;478;2.2936320304870605
-8;6;17.664876478481244;33.05207076711472;0.08570880934885819;159.87070133704924;35.392015591110315;9.590949773788452;12.654537200927734;978;4.067238092422485
-8;7;29.380590957296956;39.271460169124836;0.08570880934885819;139.78199247474618;33.18201080721514;4.685417413711548;21.309925317764282;1877;7.202441692352295
-9;0;0.9275796461760059;2.042335081757387;0.0379999999999967;57.367708387297476;3.1146886370915174;105.60955452919006;3.399338960647583;33;0.7386796474456787
-9;1;2.651023387297818;4.928960775267675;0.0379999999999967;141.779924498534;9.94691132959688;82.26152920722961;3.456294298171997;39;0.740349531173706
-9;2;2.730731770057253;4.836219355604492;0.0379999999999967;133.09736246958462;9.660019874400316;64.15768003463745;3.544421672821045;54;0.8880009651184082
-9;3;5.5716898693304815;11.65494714447955;0.08570880934885819;136.7056564863356;19.756397758928046;47.808727741241455;3.8673102855682373;90;0.9643528461456299
-9;4;8.046737786208775;17.520995843170937;0.07000000000000739;158.2728774553619;25.597998910666973;32.398990631103516;4.610612154006958;155;1.2429463863372803
-9;5;9.535252749665313;21.404017549838674;0.08570880934885819;150.29438675146855;28.650133510761076;21.785768032073975;6.742403745651245;313;1.8742859363555908
-9;6;12.045626094147195;25.746214903236105;0.08570880934885819;159.87070133704924;32.49856099392852;14.670866250991821;9.694381475448608;561;2.9015984535217285
-9;7;17.171492334680753;30.298513197894685;0.08075270893288837;140.73368564664963;32.01371843813948;9.590868949890137;15.202247619628906;1036;4.8357627391815186
-9;8;32.76730406975832;40.94589061615585;0.19617339269126638;153.86135992590863;33.084257212224834;4.47722601890564;24.83704423904419;1896;8.243474960327148
-10;0;0.920367317976901;2.0378911841687284;0.0379999999999967;57.367708387297476;3.1194651418058177;112.94274854660034;3.4594995975494385;30;0.7498376369476318
-10;1;2.6220696024323984;4.906223574189596;0.0379999999999967;141.779924498534;9.979290080504825;89.17029595375061;3.5346591472625732;39;0.7643101215362549
-10;2;2.7313604668736042;4.907567745464348;0.0379999999999967;133.09736246958462;9.567751282652639;73.32917547225952;3.6136157512664795;49;0.8276984691619873
-10;3;5.200987983066295;10.808425646307086;0.08570880934885819;136.7056564863356;18.667463047884986;59.189128160476685;3.9673690795898438;78;0.9721097946166992
-10;4;6.688376858401447;13.524358694939174;0.07000000000000739;135.89572791743674;21.725289753962258;42.43966889381409;4.49293065071106;119;1.1725571155548096
