N;P;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C
-1;0;5.76382471141515;11393.072351467154;5.587935447692871e-09;2918846.972865191;151248.1440972368;7.620526075363159;0.6397256851196289;246
-2;0;5.514924813533958;8.391902506568135;5.587935447692871e-09;191.88982349254368;10.846574020600896;13.36593747138977;0.610598087310791;110
-2;1;6.005195076963864;149764.19926466243;5.587935447692871e-09;3891999.9259963115;683763.4135480615;6.818648099899292;1.0958013534545898;892
-3;0;5.682370571195078;8.434159206219114;0.0;191.88982349254368;10.321651988701129;28.604047060012817;0.7510921955108643;68
-3;1;5.652358659901469;8.503586373990656;5.587935447692871e-09;77.21327081564777;9.316693702325807;9.852144479751587;0.7177467346191406;228
-3;2;14.946666497328673;227717.55460841238;0.10139825250515852;3892018.506550733;803224.3499548624;1.909421682357788;1.605574131011963;1648
-4;0;5.63589627618901;8.480559266928084;0.0;148.13147079779495;10.045666157225304;35.21254920959473;0.8147399425506592;54
-4;1;5.639253425163191;8.343169484822536;0.0;77.21327081564777;9.139387326768212;22.468252182006836;0.7693912982940674;110
-4;2;9.818506398548974;18406.18639958654;6.51925802230835e-09;3891882.43255338;203505.0590082024;6.862867593765259;1.357391357421875;572
-4;3;27.44314757431988;384502.62531984434;0.26335972757409626;3892031.3951350665;1052290.1273920285;2.8407046794891357;3.566593885421753;2820
-5;0;5.670310091100046;8.466320700431119;0.0;90.36753119288993;9.360217825286473;45.395888805389404;0.8835036754608154;40
-5;1;5.514924813533958;8.383409278359679;0.0;94.31330089565564;9.25178035905211;28.344800233840942;0.7874531745910645;70
-5;2;8.365272089575349;11.547817975221145;5.587935447692871e-09;154.0256208980903;12.147230841178452;11.922785520553589;0.9518122673034668;271
-5;3;13.122265724374225;37690.04981950935;0.0;3891928.6776344706;339583.3617706813;5.226931095123291;1.6990869045257568;925
-5;4;59.18288661250536;669135.964512266;0.0;3892040.2487483458;1297122.0332841252;1.242805004119873;4.84171462059021;3891
-6;0;5.652358659901469;8.439967393657168;0.0;77.21327081564777;9.230179942514118;53.14348745346069;0.9334075450897217;36
-6;1;5.652358659901469;8.493115800271825;0.0;94.47256609344036;9.66054445644933;38.46446633338928;0.834928035736084;52
-6;2;7.6086662047342015;11.119982987652824;5.587935447692871e-09;166.00340504505485;12.054057115672533;18.75839328765869;0.9253015518188477;168
-6;3;10.558834427992272;22.165380803697627;0.23351039700896178;373.8149025787001;42.25439810009793;11.171120882034302;1.306694507598877;436
-6;4;18.953135697605262;47342.93913794275;0.0;3891989.4587172777;354367.4487020276;3.7603631019592285;2.6369571685791016;1429
-6;5;76.39392359141213;534303.6166478773;0.2992142305250242;3892054.897181659;1188962.427396748;1.6403918266296387;8.348847150802612;4877
-7;0;5.682370571195078;8.542226171346663;0.0;77.21327081564777;9.45021557914424;66.53689312934875;0.9832837581634521;31
-7;1;5.637315340542624;8.507924338947413;0.0;93.79109413063931;9.51816200083221;44.91208553314209;0.8886017799377441;47
-7;2;7.473391504162303;10.895046108936612;5.587935447692871e-09;203.63995846240155;12.297533166038606;26.926138877868652;0.941840410232544;125
-7;3;10.2982004936664;17.076208039514825;2.7939677238464355e-09;375.1943668969189;25.778289206895714;16.271555423736572;1.1978545188903809;275
-7;4;12.988939184792526;3535.7885038962527;0.0;3891989.4587172777;116711.9978259631;7.700731039047241;1.9502670764923096;710
-7;5;31.54676291514033;95552.12164416087;0.26335972757409626;3892059.5040631806;528898.3577077127;3.5710251331329346;4.078141450881958;1930
-7;6;162.32593027157566;742752.1029052036;0.7460760623343109;3892054.125724541;1369976.3630441497;1.2312281131744385;12.04519772529602;5917
