N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI TIme;N#CL;CL Time
1;-1;2.5158138158982797;2.7762591219729273;0.1360163142105293;7.664370988294718;1.5425072200803378;2.147550582885742;0.057602882385253906;33;31.090705633163452
1;-2;2.324780064901243;2.6312550741521297;0.07872660249262603;8.413164794473808;1.568883611615482;2.6921725273132324;0.06396079063415527;33;74.35044193267822
1;-3;2.2362302934674956;2.5785685277173305;0.08171035890160659;8.196720460945622;1.6403834783006357;3.2518248558044434;0.06583571434020996;33;136.8379991054535
1;-4;2.158055691410074;2.52088500123417;0.11795664549393582;8.2155825501543;1.7006642902001667;3.822507619857788;0.07001447677612305;33;210.46336007118225
1;-5;2.1119599911848823;2.489636473280027;0.03246166600000237;8.427749891875232;1.7323985750043338;4.394784212112427;0.0740659236907959;33;301.51426911354065
1;-6;2.0571549926551;2.4798308653016936;0.07507082040865638;8.162585522985498;1.7550716495541985;4.9566380977630615;0.07794904708862305;33;405.2209255695343
1;-7;2.099266280360445;2.4994915312276245;0.11795664549393446;8.511094725107785;1.781139244485513;5.510928630828857;0.08218216896057129;33;525.1827714443207
1;-8;2.0976109072355875;2.5337520317453808;0.009205000833331346;8.738142650888319;1.7824494794510959;6.084937810897827;0.08746719360351562;33;658.5989637374878
2;-1;2.500682800073849;2.781214008531856;1.1211372125011602e-09;8.016790373790608;1.565243380031659;1.849606990814209;0.06813669204711914;33;30.988401651382446
2;-2;2.4010157951542492;2.701916303886966;0.04063451747656596;8.250839703377013;1.661698725059563;2.8722281455993652;0.07858562469482422;33;74.4402368068695
2;-3;2.2694921151061402;2.661403788014796;0.040634517586248545;8.612369338297524;1.6889835525589734;3.7944178581237793;0.08534932136535645;33;132.35842871665955
2;-4;2.2416233922404207;2.632242357615361;0.038125897443759466;8.612369338297523;1.7379012392728537;4.683696031570435;0.09435606002807617;33;207.8903386592865
2;-5;2.252699821182143;2.6307878990871307;0.06710250033333147;8.912799218930463;1.7481279882197862;5.4952778816223145;0.10291099548339844;33;299.1357319355011
2;-6;2.2380480897168358;2.654652515238507;0.18289749916666945;9.010113709169529;1.7688057240699149;6.372709035873413;0.11113286018371582;33;405.12112736701965
2;-7;2.2279961249133056;2.679791443339383;0.24809868949503813;9.011659510628727;1.7804837513027134;7.176413297653198;0.11929464340209961;33;525.2313504219055
2;-8;2.262883171145175;2.683167924874124;0.009205000833331346;9.011659510628727;1.7855309009189706;7.811807870864868;0.12804150581359863;33;658.0044622421265
3;-1;2.5514044511541725;2.818955054187545;0.07674939610682022;8.412501943442239;1.626351100957413;2.456784963607788;0.0773775577545166;33;26.43605613708496
3;-2;2.374069258226582;2.732289465297715;0.07625179541154943;8.455812331466827;1.707345875709843;3.906428575515747;0.0959324836730957;33;77.83034873008728
3;-3;2.34175732541674;2.695608019063172;0.058987084249997324;8.514595201511243;1.7354927010912402;5.162481069564819;0.10415983200073242;33;134.76492023468018
3;-4;2.293958130508214;2.694581335010684;0.06710250033333147;8.607450061943204;1.7623885813586115;6.376482963562012;0.11879253387451172;33;207.88824605941772
3;-5;2.3468703030612494;2.710098180871767;0.06710250033333147;8.874804641146534;1.777814620549492;7.462234258651733;0.13147544860839844;33;298.89515471458435
3;-6;2.342610219653561;2.727035664259574;0.24809868949503813;8.792328019087703;1.7739792725451493;8.527422904968262;0.1459369659423828;33;405.1170127391815
3;-7;2.3922090136545333;2.7558886051048335;0.24809868949503813;9.011659510628727;1.7868658847799472;9.388774871826172;0.15737080574035645;33;525.1563572883606
3;-8;2.4226131177153025;2.772431391941281;0.009205000833331346;9.011659510628727;1.7872398507648346;10.78885793685913;0.17820382118225098;33;699.7382428646088
