N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C;CL Time
1;-1;6.9858786133170225;8.846360441727457;0.1732887763243784;54.23665424841856;7.25601508161368;6.779613971710205;0.2723231315612793;178;0.3282470703125
1;-2;6.9471597793630595;8.290907568606041;0.1732887763243784;48.041524229045855;6.473219989440121;7.030357837677002;0.2765378952026367;178;0.4094254970550537
1;-3;6.895113092296259;7.89780069157568;0.1732887763243784;49.12737103240467;5.760242081545328;7.226163148880005;0.28164076805114746;178;0.5324733257293701
1;-4;6.749002074381058;7.6166544503881735;0.07071067811866079;40.186895115976554;5.362774822765313;6.851885080337524;0.2722890377044678;178;0.6793270111083984
1;-5;6.499423051317708;7.159419202040761;0.07071067811866079;43.90388267639321;4.829606440488247;6.893459320068359;0.2673771381378174;178;0.762192964553833
1;-6;6.425729530566942;6.926963999909438;0.1732887763243784;34.38646592865425;4.466496856079589;6.905747890472412;0.25931692123413086;178;0.9119293689727783
1;-7;6.018889349373346;6.668030109823845;0.1732887763243784;34.38646592865425;4.370265899223646;6.938341856002808;0.2626471519470215;178;1.0567026138305664
1;-8;5.923008441662045;6.536564208396615;0.1732887763243784;24.9784713103104;4.137466231462847;7.239123344421387;0.2735259532928467;178;1.3250091075897217
1;-9;5.846753714669363;6.413132761663819;0.1732887763243784;24.9784713103104;4.0077962561048235;7.098149061203003;0.2704465389251709;178;1.4146668910980225
1;-10;5.7755111462103415;6.326733031676264;0.1732887763243784;25.544782521338874;3.9470576464375244;7.155346393585205;0.2709963321685791;178;1.5835442543029785
2;-1;7.869881129979027;9.644681366898764;0.1732887763243784;53.348376734911064;7.563125471045351;4.724194049835205;0.2767336368560791;178;0.30008363723754883
3;-1;8.109408116502706;9.694103163637546;0.1732887763243784;51.974770805170465;7.19659211853046;3.6443541049957275;0.27417492866516113;178;0.26512718200683594
4;-1;8.205335398385618;9.675395688639442;0.1732887763243784;46.906079446725236;6.943136429061381;2.7884349822998047;0.27715229988098145;178;0.2554950714111328
2;-2;7.404656984796798;8.83342295979877;0.1732887763243784;48.95414231962398;6.725207603073639;4.726093292236328;0.26956844329833984;178;0.3770627975463867
3;-2;7.32530060816619;8.668898966781732;0.07071067811866079;51.03215568700288;6.377831860945708;3.665844202041626;0.2733128070831299;178;0.39339232444763184
4;-2;7.326834241335056;8.574844210680784;0.07071067811866079;51.03215568700288;6.225102297293086;2.841099262237549;0.27832889556884766;178;0.3764503002166748
2;-3;7.115688933617033;8.183842814916106;0.1732887763243784;40.186895115976554;5.967321417297837;4.788647651672363;0.2677271366119385;178;0.5083339214324951
3;-3;7.051950084905596;8.041884544666402;0.1732887763243784;40.186895115976554;5.573365762451337;3.73600172996521;0.2724027633666992;178;0.5103840827941895
4;-3;6.991602105383284;7.921362534276085;0.1732887763243784;40.186895115976554;5.471236723840615;2.896397113800049;0.27678847312927246;178;0.5128359794616699
2;-4;6.939920748827025;7.802493572713218;0.1732887763243784;39.210011846465946;5.4689575956356995;4.828669309616089;0.2694568634033203;178;0.6531624794006348
3;-4;6.80250167217914;7.624282728278864;0.1732887763243784;34.26495533431351;5.142895949810677;3.756908655166626;0.2720491886138916;178;0.6555771827697754
4;-4;6.792827099227534;7.556620245153989;0.1732887763243784;34.26495533431351;5.069628710772332;2.9376494884490967;0.2782778739929199;178;0.6538650989532471
2;-5;6.510455360418339;7.274763561533952;0.1732887763243784;35.26588729605112;4.8106203687958775;4.8309807777404785;0.2683262825012207;178;0.8057126998901367
3;-5;6.510455360418339;7.199210743557271;0.1732887763243784;32.5789662061659;4.665125017256249;3.805817127227783;0.2726123332977295;178;0.8434414863586426
4;-5;6.470123646422837;7.159553823961398;0.1732887763243784;32.5789662061659;4.699051942236656;2.988124132156372;0.27791762351989746;178;0.8011808395385742
2;-6;6.395117590787507;7.037324037711207;0.1732887763243784;29.88841797419194;4.569086397994708;4.88125205039978;0.26868581771850586;178;0.9626100063323975
3;-6;6.362585952268149;6.967066817123857;0.1732887763243784;28.117970927193518;4.463563754360747;3.845280408859253;0.27370643615722656;178;0.9639935493469238
4;-6;6.328506932918694;6.939372092437152;0.1732887763243784;28.117970927193518;4.490462624987326;3.0367391109466553;0.2777523994445801;178;0.9729475975036621
