N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C
9;-4;7.777049569084664;9.244776211196235;0.2504241402101771;69.0089544932395;6.715611755698417;0.7720324993133545;0.9041528701782227;174
1;-5;8.606102486026991;10.187562829798992;0.2504241402101771;50.048903974637646;7.174949328039532;0.25585198402404785;0.11054611206054688;174
2;-5;8.807441683031472;10.018930790177164;0.2504241402101771;48.769121903333684;7.002806812375085;0.3170452117919922;0.18296575546264648;174
3;-5;8.73750702431765;9.819213625786034;0.2504241402101771;48.769121903333684;6.915966964974473;0.36276912689208984;0.2609894275665283;174
4;-5;8.683290217423355;9.6509075871929;0.25000000000000683;47.442104203146606;6.576148166006735;0.40442395210266113;0.3627333641052246;174
5;-5;8.215229759416355;9.524994790991096;0.25000000000000683;58.9886666153974;6.8107012771192155;0.5140833854675293;0.4761686325073242;174
6;-5;8.180770134895605;9.531311845591784;0.1740375318717037;58.9886666153974;6.86122875582968;0.5754306316375732;0.5808837413787842;174
7;-5;8.031004233593702;9.438806825923367;0.1740375318717037;58.9886666153974;6.847985123908793;0.6255476474761963;0.6756813526153564;174
8;-5;8.061670360415391;9.515897209430852;0.1740375318717037;69.0089544932395;6.993983713327718;0.6687088012695312;0.7796421051025391;174
9;-5;7.848154496440538;9.354823482384065;0.2504241402101771;69.0089544932395;6.715646411060627;0.7580513954162598;0.890796422958374;174
1;-6;8.828195115650765;10.269188827396711;0.2504241402101771;48.769121903333684;6.988306231777467;0.25266385078430176;0.1111750602722168;174
2;-6;8.942204929434357;10.065914533665616;0.2504241402101771;48.769121903333684;6.8640795116032285;0.3114955425262451;0.18121862411499023;174
3;-6;8.765815934640653;9.855876479943445;0.2504241402101771;48.769121903333684;6.736091529607543;0.3547635078430176;0.25731325149536133;174
4;-6;8.68806652829041;9.707631971323181;0.25000000000000683;40.7397952138017;6.524639627361111;0.39309000968933105;0.35643696784973145;174
5;-6;8.134494452638108;9.559847930566184;0.25000000000000683;58.9886666153974;6.757714824798817;0.49855542182922363;0.46804285049438477;174
6;-6;8.200821510339372;9.593831185876018;0.1740375318717037;58.9886666153974;6.905468727310462;0.56113600730896;0.5724582672119141;174
7;-6;8.081183638551972;9.525384743830012;0.1740375318717037;58.9886666153974;6.888301301415517;0.6094498634338379;0.6676521301269531;174
8;-6;8.165323018717629;9.611643430189782;0.1740375318717037;69.0089544932395;7.050099002765158;0.6551351547241211;0.7706613540649414;174
9;-6;7.992027277230729;9.460904227738178;0.2504241402101771;69.0089544932395;6.758163246239434;0.7439987659454346;0.8783800601959229;174
1;-7;9.015155517238743;10.386633687826455;0.2504241402101771;49.54209350643148;6.975017143443817;0.2441236972808838;0.10725164413452148;174
2;-7;9.015155517238743;10.182664954484004;0.2504241402101771;39.55941770299457;6.8065883118609705;0.3041832447052002;0.17728018760681152;174
3;-7;8.922023313128019;9.940992031303239;0.2504241402101771;39.55941770299457;6.6287788243481796;0.34717798233032227;0.2514171600341797;174
4;-7;8.882371811627788;9.756360782397314;0.25000000000000683;39.55941770299457;6.359139615455268;0.387401819229126;0.35129642486572266;174
5;-7;8.438218354605434;9.649779008923066;0.25000000000000683;58.9886666153974;6.642615920245548;0.4901590347290039;0.46155524253845215;174
6;-7;8.455323766716438;9.702151140924375;0.1740375318717037;59.345568824154846;6.8779883847451675;0.5630249977111816;0.574944257736206;174
7;-7;8.426418515597229;9.651935948091513;0.1740375318717037;59.345568824154846;6.906487464241416;0.5961039066314697;0.6601192951202393;174
8;-7;8.563439729454524;9.750335012929824;0.1740375318717037;69.0089544932395;7.058547977168233;0.6397557258605957;0.7615048885345459;174
9;-7;8.317752100177056;9.573395729797252;0.2504241402101771;69.0089544932395;6.76560018288724;0.7246508598327637;0.8691527843475342;174
1;-8;9.1166895855897;10.58898493511325;0.2504241402101771;49.54209350643148;6.937217489584938;0.24217796325683594;0.10651326179504395;174
2;-8;9.090711138299355;10.369422380650917;0.2504241402101771;39.55941770299457;6.775897417939477;0.3090076446533203;0.18222689628601074;174
3;-8;9.027405510444314;10.088900666470881;0.2504241402101771;39.55941770299457;6.580794156651808;0.35008811950683594;0.2526705265045166;174
4;-8;9.015155517238743;9.915248918929144;0.25000000000000683;39.55941770299457;6.3587294691282175;0.381561279296875;0.34779953956604004;174
5;-8;8.612840936648016;9.795008671161685;0.25000000000000683;58.9886666153974;6.654725794003165;0.480940580368042;0.4574456214904785;174
6;-8;8.551023330572782;9.801016750644939;0.1740375318717037;59.345568824154846;6.856814971030014;0.5404703617095947;0.5615127086639404;174
7;-8;8.513784646090118;9.773879726766475;0.1740375318717037;59.345568824154846;6.889918781210384;0.5832676887512207;0.6544899940490723;174
8;-8;8.574672005388884;9.8076586313448;0.1740375318717037;69.0089544932395;7.035830124430485;0.6254236698150635;0.7567284107208252;174
9;-8;8.455323766716438;9.636396686646947;0.2504241402101771;69.0089544932395;6.739135784200323;0.7089240550994873;0.862271785736084;174
1;-9;9.263368717696611;10.70664463696437;0.2504241402101771;49.54209350643148;7.047390058168221;0.24188852310180664;0.10685133934020996;174
2;-9;9.232905234134073;10.49448025181071;0.2504241402101771;40.42827635455165;6.935414934613319;0.29630303382873535;0.17461466789245605;174
3;-9;9.090711138299355;10.138736980833707;0.1732887763243642;40.42827635455165;6.659889958789538;0.33898210525512695;0.24799132347106934;174
4;-9;9.014101674598532;9.958155511170462;0.1732887763243642;40.42827635455165;6.429325404171817;0.3770432472229004;0.34494900703430176;174
5;-9;8.653611962643124;9.84747690182203;0.1732887763243642;58.9886666153974;6.772629428636131;0.47257137298583984;0.4545767307281494;174
6;-9;8.57394308355262;9.849659754075095;0.1732887763243642;58.9886666153974;6.948738935385722;0.5317285060882568;0.5563559532165527;174
7;-9;8.574672005388884;9.81474630356501;0.1732887763243642;58.9886666153974;6.984705255310548;0.5755283832550049;0.6498465538024902;174
8;-9;8.581522533909697;9.867855987536553;0.1740375318717037;69.0089544932395;7.069669302739158;0.6165616512298584;0.7510828971862793;174
9;-9;8.46463230152379;9.670683537663633;0.2504241402101771;69.0089544932395;6.7792429394721605;0.6959826946258545;0.8565938472747803;174
