N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C;CL Time
2;-5;2.2899373270628893;2.5302295297091075;0.13565891633860686;7.800857468562827;1.4446691263256983;4.826061725616455;0.10706591606140137;35;299.107768535614
3;-5;2.2879349378382825;2.5059084248460795;0.16255492181818454;8.597261798181819;1.414841884337429;7.009295701980591;0.1415722370147705;35;298.36875557899475
1;-6;2.3449525539848253;2.554929435551464;3.6363800861098014e-10;7.800857468562827;1.4330594422680343;4.41607141494751;0.08290219306945801;35;408.62305331230164
2;-6;2.2453952113409046;2.5012668995921166;0.13565891797259824;7.800857468562827;1.402775763838983;5.805447101593018;0.11873650550842285;35;407.7274031639099
3;-6;2.2720081296838393;2.4889895666647797;0.17176713358816975;8.597261798181819;1.3977724214257932;8.132656812667847;0.15092754364013672;35;407.75669598579407
1;-7;2.2879210917190256;2.5127719486074973;0.07082545145454411;7.800857468562828;1.394047156424228;4.826340436935425;0.08746457099914551;35;529.8448469638824
2;-7;2.2349536059731347;2.482323797461232;0.13565891797259824;7.800857468562828;1.3866283400009147;6.308556795120239;0.12644743919372559;35;527.5055267810822
3;-7;2.2388933231242927;2.479679944883564;0.17176713358816975;7.800857468562828;1.3899793286559075;8.656490325927734;0.1648108959197998;35;528.0240654945374
1;-8;2.2562486059522175;2.4982408431017324;0.13565891797259824;7.800857468562828;1.4008794138620313;5.515676736831665;0.09328532218933105;35;663.1664705276489
2;-8;2.2512612444902818;2.4734290747193137;0.17176713358816975;7.800857468562828;1.3842398753949365;7.0103724002838135;0.13101458549499512;35;662.344565153122
3;-8;2.2259429012397347;2.463494525193945;0.17176713358816975;7.800857468562828;1.391755663022157;9.572781562805176;0.18295717239379883;35;663.5847699642181
4;-1;2.393632326035574;2.6315734815937035;0.17176713358816975;8.512563232484913;1.47170905951587;3.290649175643921;0.08999061584472656;35;30.395384073257446
5;-1;2.3539043714553842;2.5831516128857555;0.1625549190909048;8.512563232484913;1.4511539729304734;4.354111671447754;0.10214567184448242;35;29.99817180633545
4;-2;2.3114562159429033;2.563838774258435;0.17176713358816975;7.890072709090909;1.4285850207272934;4.767313003540039;0.10987639427185059;35;72.32198929786682
5;-2;2.276001711422419;2.5317194849784257;0.17176713358816975;7.890072709090909;1.4310274302654176;6.368497133255005;0.1293623447418213;35;72.65938377380371
4;-3;2.358191833040186;2.545499275629587;0.0831837750113593;7.890072709090909;1.4170173174775462;6.11956000328064;0.13271117210388184;35;131.79691576957703
5;-3;2.2879210961021643;2.519440246422198;0.17176713358816975;7.890072709090909;1.4310778564638833;8.184071779251099;0.15837478637695312;35;131.60541796684265
4;-4;2.336908013800703;2.5444018882414365;0.16255492181818454;8.597261798181819;1.4095560955937407;7.330536365509033;0.15370655059814453;35;207.6025471687317
5;-4;2.291877259487183;2.5276697691197123;0.17176713358816975;8.597261798181819;1.4284859331759212;9.837673902511597;0.1847240924835205;35;207.25177884101868
