N;P;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI TIme;N#CL;Clustering Time
-1;0;2.24501670372405;2.5658839180246154;0.0;10.57200002670288;1.8138376690620197;2.7854881286621094;0.05494880676269531;12;0.0484616756439209
-2;0;2.2238356279312486;2.505844691300748;0.0;9.132789119043542;1.8277080751531298;15.526511192321777;0.15519094467163086;6;0.045928955078125
-2;1;2.24501670372405;2.6599110038131317;0.0;12.226411915546796;1.9395201352253744;1.7226550579071045;0.04755997657775879;36;0.09570479393005371
-3;0;2.2238356279312486;2.5018467401687903;0.0;9.132789119043542;1.8235301916390265;19.12248682975769;0.14739465713500977;4;0.04587101936340332
-3;1;2.215675395981914;2.510205946530065;0.0;9.132789119043542;1.831847276836844;12.602608680725098;0.14260482788085938;9;0.08991479873657227
-3;2;2.2168186838072153;2.581603366362498;0.0;10.55578830890651;1.8791626213137156;1.2322442531585693;0.06084728240966797;63;0.17528510093688965
-4;0;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;18.767581462860107;0.12569975852966309;3;0.0418543815612793
-4;1;2.081083377202351;2.4798063300494886;0.0;9.132789119043542;1.830117253098906;14.870355367660522;0.1273517608642578;5;0.08151531219482422
-4;2;2.2036079636718044;2.508255085307244;0.0;9.132789119043542;1.8343273244172407;11.494016408920288;0.13482999801635742;12;0.0708928108215332
-4;3;2.1906825750013947;2.8442754447480043;0.0;20.908383423249376;2.311858536747052;1.060124397277832;0.07623457908630371;78;0.2525827884674072
-5;0;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;21.950018167495728;0.13290858268737793;3;0.0776515007019043
-5;1;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;18.04439949989319;0.12301778793334961;3;0.0455935001373291
-5;2;2.2180212259292604;2.4963940534423807;0.0;9.132789119043542;1.8218394182840658;16.539288759231567;0.12929463386535645;6;0.058800697326660156
-5;3;2.2324369167921274;2.536919899242104;0.0;9.132789119043542;1.836820147840835;10.203402280807495;0.13301372528076172;16;0.09338212013244629
-5;4;2.24501670372405;3.015194673910148;0.0;13.13829701032659;2.3001822833310537;1.3085365295410156;0.09792828559875488;88;0.3330087661743164
-6;0;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;27.22328758239746;0.15286827087402344;2;0.07465839385986328
-6;1;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;20.484899044036865;0.12810230255126953;3;0.048879146575927734
-6;2;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;18.077335357666016;0.1215524673461914;3;0.04732704162597656
-6;3;2.2180212259292604;2.4963940534423807;0.0;9.132789119043542;1.8218394182840658;17.9717059135437;0.12862658500671387;4;0.08504319190979004
-6;4;2.24501670372405;2.534303086228492;0.0;9.132789119043542;1.820818101546942;12.571493864059448;0.14470338821411133;14;0.09381318092346191
-6;5;2.24501670372405;2.748468183622499;0.0;18.497967611424716;2.0984242156508213;1.9030797481536865;0.11758542060852051;88;0.3900918960571289
-7;0;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;27.11111617088318;0.1513962745666504;2;0.04364132881164551
-7;1;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;27.237314462661743;0.15307211875915527;2;0.07440423965454102
-7;2;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;27.16312527656555;0.15221261978149414;2;0.044603824615478516
